"","title","Hierarchy","Occupation.type","Employment.2016","Employment.2026","ChgEmploy.2016to26.Num","ChgEmploy.2016to26.Perc","Percent.self.employed..2016","Occupational.openings..2016.26.annual.average","Median.annual.wage..2017.1.","Typical.education.needed.for.entry","Work.experience.in.a.related.occupation","Typical.on.the.job.training.needed.to.attain.competency.in.the.occupation","ttl","Level0","Level4","Level3","Level2","Level1","pathString"
"1","Total, all",0,"Summary","156,063.80","167,582.30","11,518.60",7.4,6.1,"18,742.00","$37,690 ",NA,NA,NA,"Total, all","Jobs",NA,NA,NA,NA,"Jobs/NA/NA/NA/NA"
"2","Management occupations",1,"Summary","9,533.10","10,340.40","807.3",8.5,19.8,"841.5","$102,590 ",NA,NA,NA,"Management occupations","Jobs",NA,NA,NA,"Management occupations","Jobs/Management occupations/NA/NA/NA"
"3","Top executives",2,"Summary","2,627.50","2,824.50","197",7.5,3.2,"235","$103,120 ",NA,NA,NA,"Top executives","Jobs",NA,NA,"Top executives","Management occupations","Jobs/Management occupations/Top executives/NA/NA"
"4","Chief executives",3,"Line item","308.9","296.8","-12.1",-3.9,22.8,"20","$183,270 ","Bachelor's degree","5 years or more","None","Chief executives","Jobs",NA,"Chief executives","Top executives","Management occupations","Jobs/Management occupations/Top executives/Chief executives/NA"
"5","General & operations managers",3,"Line item","2,263.10","2,468.30","205.2",9.1,0.6,"210.7","$100,410 ","Bachelor's degree","5 years or more","None","General & operations managers","Jobs",NA,"General & operations managers","Top executives","Management occupations","Jobs/Management occupations/Top executives/General & operations managers/NA"
"6","Legislators",3,"Line item","55.5","59.4","3.9",7.1,NA,"4.4","$25,630 ","Bachelor's degree","Less than 5 years","None","Legislators","Jobs",NA,"Legislators","Top executives","Management occupations","Jobs/Management occupations/Top executives/Legislators/NA"
"7","Advertising, marketing, promotions, public relations, & sales managers",2,"Summary","708.6","768.9","60.3",8.5,3.3,"67.9","$123,100 ",NA,NA,NA,"Advertising, marketing, etc","Jobs",NA,"Legislators","Advertising, marketing, etc","Management occupations","Jobs/Management occupations/Advertising, marketing, etc/Legislators/NA"
"8","Advertising & promotions managers",3,"Line item","31.3","33","1.7",5.5,5.2,"3.4","$106,130 ","Bachelor's degree","Less than 5 years","None","Advertising & promotions managers","Jobs",NA,"Advertising & promotions managers","Advertising, marketing, etc","Management occupations","Jobs/Management occupations/Advertising, marketing, etc/Advertising & promotions managers/NA"
"9","Marketing & sales managers",3,"Summary","603.8","654.8","51",8.4,3.6,"57.6","$125,290 ",NA,NA,NA,"Marketing & sales managers","Jobs",NA,"Marketing & sales managers","Advertising, marketing, etc","Management occupations","Jobs/Management occupations/Advertising, marketing, etc/Marketing & sales managers/NA"
"10","Marketing managers",4,"Line item","218.3","240.4","22.1",10.1,3.5,"21.3","$132,230 ","Bachelor's degree","5 years or more","None","Marketing managers","Jobs","Marketing managers","Marketing & sales managers","Advertising, marketing, etc","Management occupations","Jobs/Management occupations/Advertising, marketing, etc/Marketing & sales managers/Marketing managers"
"11","Sales managers",4,"Line item","385.5","414.4","28.9",7.5,3.6,"36.3","$121,060 ","Bachelor's degree","Less than 5 years","None","Sales managers","Jobs","Sales managers","Marketing & sales managers","Advertising, marketing, etc","Management occupations","Jobs/Management occupations/Advertising, marketing, etc/Marketing & sales managers/Sales managers"
"12","Public relations & fundraising managers",3,"Line item","73.5","81.1","7.7",10.4,NA,"6.9","$111,280 ","Bachelor's degree","5 years or more","None","Public relations & fundraising managers","Jobs","Sales managers","Public relations & fundraising managers","Advertising, marketing, etc","Management occupations","Jobs/Management occupations/Advertising, marketing, etc/Public relations & fundraising managers/Sales managers"
"13","Operations specialties managers",2,"Summary","1,776.10","1,985.00","208.9",11.8,1.4,"160.4","$115,700 ",NA,NA,NA,"Operations specialties managers","Jobs","Sales managers","Public relations & fundraising managers","Operations specialties managers","Management occupations","Jobs/Management occupations/Operations specialties managers/Public relations & fundraising managers/Sales managers"
"14","Administrative services managers",3,"Line item","281.7","310.2","28.5",10.1,0.2,"26.2","$94,020 ","Bachelor's degree","Less than 5 years","None","Administrative services managers","Jobs","Sales managers","Administrative services managers","Operations specialties managers","Management occupations","Jobs/Management occupations/Operations specialties managers/Administrative services managers/Sales managers"
"15","Computer & information systems managers",3,"Line item","367.6","411.8","44.2",12,0.8,"32.5","$139,220 ","Bachelor's degree","5 years or more","None","Computer & information systems managers","Jobs","Sales managers","Computer & information systems managers","Operations specialties managers","Management occupations","Jobs/Management occupations/Operations specialties managers/Computer & information systems managers/Sales managers"
"16","Financial managers",3,"Line item","580.4","689","108.6",18.7,2.6,"56.9","$125,080 ","Bachelor's degree","5 years or more","None","Financial managers","Jobs","Sales managers","Financial managers","Operations specialties managers","Management occupations","Jobs/Management occupations/Operations specialties managers/Financial managers/Sales managers"
"17","Industrial production managers",3,"Line item","170.6","169.7","-0.9",-0.5,1.4,"11.6","$100,580 ","Bachelor's degree","5 years or more","None","Industrial production managers","Jobs","Sales managers","Industrial production managers","Operations specialties managers","Management occupations","Jobs/Management occupations/Operations specialties managers/Industrial production managers/Sales managers"
"18","Purchasing managers",3,"Line item","73.9","77.9","4",5.5,1.3,"6.3","$115,760 ","Bachelor's degree","5 years or more","None","Purchasing managers","Jobs","Sales managers","Purchasing managers","Operations specialties managers","Management occupations","Jobs/Management occupations/Operations specialties managers/Purchasing managers/Sales managers"
"19","Transportation, storage, & distribution managers",3,"Line item","115.5","123.3","7.8",6.7,1.1,"9.7","$92,460 ","High school diploma or equivalent","5 years or more","None","Transportation, storage, etc","Jobs","Sales managers","Transportation, storage, etc","Operations specialties managers","Management occupations","Jobs/Management occupations/Operations specialties managers/Transportation, storage, etc/Sales managers"
"20","Compensation & benefits managers",3,"Line item","15.8","16.6","0.8",5,NA,"1.2","$119,120 ","Bachelor's degree","5 years or more","None","Compensation & benefits managers","Jobs","Sales managers","Compensation & benefits managers","Operations specialties managers","Management occupations","Jobs/Management occupations/Operations specialties managers/Compensation & benefits managers/Sales managers"
"21","Human resources managers",3,"Line item","136.1","148.4","12.3",9.1,1.5,"12.4","$110,120 ","Bachelor's degree","5 years or more","None","Human resources managers","Jobs","Sales managers","Human resources managers","Operations specialties managers","Management occupations","Jobs/Management occupations/Operations specialties managers/Human resources managers/Sales managers"
"22","Training & development managers",3,"Line item","34.5","38.1","3.6",10.3,NA,"3.5","$108,250 ","Bachelor's degree","5 years or more","None","Training & development managers","Jobs","Sales managers","Training & development managers","Operations specialties managers","Management occupations","Jobs/Management occupations/Operations specialties managers/Training & development managers/Sales managers"
"23","Other management occupations",2,"Summary","4,421.00","4,762.00","341",7.7,39.7,"378.3","$88,720 ",NA,NA,NA,"Other management occupations","Jobs","Sales managers","Training & development managers","Other management occupations","Management occupations","Jobs/Management occupations/Other management occupations/Training & development managers/Sales managers"
"24","Farmers, ranchers, & other agricultural managers",3,"Line item","1,028.70","1,020.70","-8",-0.8,72.5,"74.3","$69,620 ","High school diploma or equivalent","5 years or more","None","Farmers, ranchers, etc","Jobs","Sales managers","Farmers, ranchers, etc","Other management occupations","Management occupations","Jobs/Management occupations/Other management occupations/Farmers, ranchers, etc/Sales managers"
"25","Construction managers",3,"Line item","403.8","448.6","44.8",11.1,37.8,"33.2","$91,370 ","Bachelor's degree","None","Moderate-term on-the-job training","Construction managers","Jobs","Sales managers","Construction managers","Other management occupations","Management occupations","Jobs/Management occupations/Other management occupations/Construction managers/Sales managers"
"26","Education administrators",3,"Summary","531.6","580.4","48.8",9.2,2,"45.8","$88,890 ",NA,NA,NA,"Education administrators","Jobs","Sales managers","Education administrators","Other management occupations","Management occupations","Jobs/Management occupations/Other management occupations/Education administrators/Sales managers"
"27","Education administrators, preschool & childcare center/program",4,"Line item","61.8","68.5","6.7",10.8,4.6,"5.5","$46,890 ","Bachelor's degree","Less than 5 years","None","Education administrators, preschool & childcare center/program","Jobs","Education administrators, preschool & childcare center/program","Education administrators","Other management occupations","Management occupations","Jobs/Management occupations/Other management occupations/Education administrators/Education administrators, preschool & childcare center/program"
"28","Education administrators, elementary & secondary school",4,"Line item","251.3","271.1","19.8",7.9,0.9,"21.2","$94,390 ","Master's degree","5 years or more","None","Education administrators, elementary & secondary school","Jobs","Education administrators, elementary & secondary school","Education administrators","Other management occupations","Management occupations","Jobs/Management occupations/Other management occupations/Education administrators/Education administrators, elementary & secondary school"
"29","Education administrators, postsecondary",4,"Line item","180.1","198.3","18.2",10.1,2.5,"15.7","$92,360 ","Master's degree","Less than 5 years","None","Education administrators, postsecondary","Jobs","Education administrators, postsecondary","Education administrators","Other management occupations","Management occupations","Jobs/Management occupations/Other management occupations/Education administrators/Education administrators, postsecondary"
"30","Education administrators, all other",4,"Line item","38.4","42.5","4.1",10.6,3,"3.4","$81,630 ","Bachelor's degree","Less than 5 years","None","Education administrators, all other","Jobs","Education administrators, all other","Education administrators","Other management occupations","Management occupations","Jobs/Management occupations/Other management occupations/Education administrators/Education administrators, all other"
"31","Architectural & engineering managers",3,"Line item","180.1","190","9.9",5.5,NA,"13.6","$137,720 ","Bachelor's degree","5 years or more","None","Architectural & engineering managers","Jobs","Education administrators, all other","Architectural & engineering managers","Other management occupations","Management occupations","Jobs/Management occupations/Other management occupations/Architectural & engineering managers/Education administrators, all other"
"32","Food service managers",3,"Line item","308.7","336.4","27.6",9,34,"36.8","$52,030 ","High school diploma or equivalent","Less than 5 years","None","Food service managers","Jobs","Education administrators, all other","Food service managers","Other management occupations","Management occupations","Jobs/Management occupations/Other management occupations/Food service managers/Education administrators, all other"
"33","Funeral service managers",3,"Line item","25.7","27.5","1.8",6.8,66.6,"2","$78,040 ","Associate's degree","Less than 5 years","None","Funeral service managers","Jobs","Education administrators, all other","Funeral service managers","Other management occupations","Management occupations","Jobs/Management occupations/Other management occupations/Funeral service managers/Education administrators, all other"
"34","Gaming managers",3,"Line item","4.5","4.6","0.1",2.5,3,"0.5","$72,930 ","High school diploma or equivalent","Less than 5 years","None","Gaming managers","Jobs","Education administrators, all other","Gaming managers","Other management occupations","Management occupations","Jobs/Management occupations/Other management occupations/Gaming managers/Education administrators, all other"
"35","Lodging managers",3,"Line item","47.8","49.7","1.9",4,24.3,"5","$51,800 ","High school diploma or equivalent","Less than 5 years","None","Lodging managers","Jobs","Education administrators, all other","Lodging managers","Other management occupations","Management occupations","Jobs/Management occupations/Other management occupations/Lodging managers/Education administrators, all other"
"36","Medical & health services managers",3,"Line item","352.2","424.3","72.1",20.5,2.6,"36.7","$98,350 ","Bachelor's degree","Less than 5 years","None","Medical & health services managers","Jobs","Education administrators, all other","Medical & health services managers","Other management occupations","Management occupations","Jobs/Management occupations/Other management occupations/Medical & health services managers/Education administrators, all other"
"37","Natural sciences managers",3,"Line item","56.7","62.3","5.6",9.9,NA,"5.2","$118,970 ","Bachelor's degree","5 years or more","None","Natural sciences managers","Jobs","Education administrators, all other","Natural sciences managers","Other management occupations","Management occupations","Jobs/Management occupations/Other management occupations/Natural sciences managers/Education administrators, all other"
"38","Postmasters & mail superintendents",3,"Line item","14.2","11.2","-3",-20.9,NA,"0.6","$74,840 ","High school diploma or equivalent","Less than 5 years","Moderate-term on-the-job training","Postmasters & mail superintendents","Jobs","Education administrators, all other","Postmasters & mail superintendents","Other management occupations","Management occupations","Jobs/Management occupations/Other management occupations/Postmasters & mail superintendents/Education administrators, all other"
"39","Property, real estate, & community association managers",3,"Line item","317.3","349.9","32.6",10.3,41.6,"28.3","$58,670 ","High school diploma or equivalent","Less than 5 years","None","Property, real estate, etc","Jobs","Education administrators, all other","Property, real estate, etc","Other management occupations","Management occupations","Jobs/Management occupations/Other management occupations/Property, real estate, etc/Education administrators, all other"
"40","Social & community service managers",3,"Line item","147.3","173.8","26.5",18,5.8,"16.3","$64,100 ","Bachelor's degree","Less than 5 years","None","Social & community service managers","Jobs","Education administrators, all other","Social & community service managers","Other management occupations","Management occupations","Jobs/Management occupations/Other management occupations/Social & community service managers/Education administrators, all other"
"41","Emergency management directors",3,"Line item","10.1","10.9","0.8",7.7,NA,"0.9","$72,760 ","Bachelor's degree","5 years or more","None","Emergency management directors","Jobs","Education administrators, all other","Emergency management directors","Other management occupations","Management occupations","Jobs/Management occupations/Other management occupations/Emergency management directors/Education administrators, all other"
"42","Managers, all other",3,"Line item","992.1","1,071.70","79.5",8,56.7,"79.2","$105,610 ","Bachelor's degree","Less than 5 years","None","Managers, all other","Jobs","Education administrators, all other","Managers, all other","Other management occupations","Management occupations","Jobs/Management occupations/Other management occupations/Managers, all other/Education administrators, all other"
"43","Business & financial operations occupations",1,"Summary","8,066.80","8,840.70","773.8",9.6,5.5,"817.7","$67,710 ",NA,NA,NA,"Business & financial operations occupations","Jobs","Education administrators, all other","Managers, all other","Other management occupations","Business & financial operations occupations","Jobs/Business & financial operations occupations/Other management occupations/Managers, all other/Education administrators, all other"
"44","Business operations specialists",2,"Summary","5,080.80","5,556.30","475.4",9.4,4.3,"528","$66,390 ",NA,NA,NA,"Business operations specialists","Jobs","Education administrators, all other","Managers, all other","Business operations specialists","Business & financial operations occupations","Jobs/Business & financial operations occupations/Business operations specialists/Managers, all other/Education administrators, all other"
"45","Agents & business managers of artists, performers, & athletes",3,"Line item","19.1","20","0.9",4.7,21.2,"2.3","$64,940 ","Bachelor's degree","Less than 5 years","None","Agents & business managers of artists, performers, etc","Jobs","Education administrators, all other","Agents & business managers of artists, performers, etc","Business operations specialists","Business & financial operations occupations","Jobs/Business & financial operations occupations/Business operations specialists/Agents & business managers of artists, performers, etc/Education administrators, all other"
"46","Buyers & purchasing agents",3,"Summary","446.5","425.2","-21.3",-4.8,3.8,"38.6","$62,120 ",NA,NA,NA,"Buyers & purchasing agents","Jobs","Education administrators, all other","Buyers & purchasing agents","Business operations specialists","Business & financial operations occupations","Jobs/Business & financial operations occupations/Business operations specialists/Buyers & purchasing agents/Education administrators, all other"
"47","Buyers & purchasing agents, farm products",4,"Line item","13.7","12.9","-0.9",-6.2,4.9,"1.4",NA,"Bachelor's degree","None","Moderate-term on-the-job training","Buyers & purchasing agents, farm products","Jobs","Buyers & purchasing agents, farm products","Buyers & purchasing agents","Business operations specialists","Business & financial operations occupations","Jobs/Business & financial operations occupations/Business operations specialists/Buyers & purchasing agents/Buyers & purchasing agents, farm products"
"48","Wholesale & retail buyers, except farm products",4,"Line item","123.3","120.3","-3",-2.5,11.5,"13.3",NA,"Bachelor's degree","None","Moderate-term on-the-job training","Wholesale & retail buyers, except farm products","Jobs","Wholesale & retail buyers, except farm products","Buyers & purchasing agents","Business operations specialists","Business & financial operations occupations","Jobs/Business & financial operations occupations/Business operations specialists/Buyers & purchasing agents/Wholesale & retail buyers, except farm products"
"49","Purchasing agents, except wholesale, retail, & farm products",4,"Line item","309.4","292.1","-17.4",-5.6,0.7,"23.8",NA,"Bachelor's degree","None","Moderate-term on-the-job training","Purchasing agents, except wholesale, etc","Jobs","Purchasing agents, except wholesale, etc","Buyers & purchasing agents","Business operations specialists","Business & financial operations occupations","Jobs/Business & financial operations occupations/Business operations specialists/Buyers & purchasing agents/Purchasing agents, except wholesale, etc"
"50","Claims adjusters, appraisers, examiners, & investigators",3,"Summary","328.7","325.1","-3.6",-1.1,1.7,"26","$64,690 ",NA,NA,NA,"Claims adjusters, appraisers, etc","Jobs","Purchasing agents, except wholesale, etc","Claims adjusters, appraisers, etc","Business operations specialists","Business & financial operations occupations","Jobs/Business & financial operations occupations/Business operations specialists/Claims adjusters, appraisers, etc/Purchasing agents, except wholesale, etc"
"51","Claims adjusters, examiners, & investigators",4,"Line item","311.1","306.7","-4.5",-1.4,1.6,"24.5","$64,900 ","High school diploma or equivalent","None","Long-term on-the-job training","Claims adjusters, examiners, etc","Jobs","Claims adjusters, examiners, etc","Claims adjusters, appraisers, etc","Business operations specialists","Business & financial operations occupations","Jobs/Business & financial operations occupations/Business operations specialists/Claims adjusters, appraisers, etc/Claims adjusters, examiners, etc"
"52","Insurance appraisers, auto damage",4,"Line item","17.6","18.5","0.9",4.9,2,"1.5","$62,100 ","Postsecondary nondegree award","None","Moderate-term on-the-job training","Insurance appraisers, auto damage","Jobs","Insurance appraisers, auto damage","Claims adjusters, appraisers, etc","Business operations specialists","Business & financial operations occupations","Jobs/Business & financial operations occupations/Business operations specialists/Claims adjusters, appraisers, etc/Insurance appraisers, auto damage"
"53","Compliance officers",3,"Line item","288.3","312","23.7",8.2,0.4,"25.9","$67,870 ","Bachelor's degree","None","Moderate-term on-the-job training","Compliance officers","Jobs","Insurance appraisers, auto damage","Compliance officers","Business operations specialists","Business & financial operations occupations","Jobs/Business & financial operations occupations/Business operations specialists/Compliance officers/Insurance appraisers, auto damage"
"54","Cost estimators",3,"Line item","217.9","240.8","22.9",10.5,1.1,"24.4","$63,110 ","Bachelor's degree","None","Moderate-term on-the-job training","Cost estimators","Jobs","Insurance appraisers, auto damage","Cost estimators","Business operations specialists","Business & financial operations occupations","Jobs/Business & financial operations occupations/Business operations specialists/Cost estimators/Insurance appraisers, auto damage"
"55","Human resources workers",3,"Summary","631.8","664.7","32.9",5.2,0.9,"64.7","$60,570 ",NA,NA,NA,"Human resources workers","Jobs","Insurance appraisers, auto damage","Human resources workers","Business operations specialists","Business & financial operations occupations","Jobs/Business & financial operations occupations/Business operations specialists/Human resources workers/Insurance appraisers, auto damage"
"56","Human resources specialists",4,"Line item","547.8","586.7","38.9",7.1,0.9,"57.6","$60,350 ","Bachelor's degree","None","None","Human resources specialists","Jobs","Human resources specialists","Human resources workers","Business operations specialists","Business & financial operations occupations","Jobs/Business & financial operations occupations/Business operations specialists/Human resources workers/Human resources specialists"
"57","Farm labor contractors",4,"Line item","3","3.2","0.2",8,NA,"0.3","$35,660 ","No formal educational credential","Less than 5 years","Short-term on-the-job training","Farm labor contractors","Jobs","Farm labor contractors","Human resources workers","Business operations specialists","Business & financial operations occupations","Jobs/Business & financial operations occupations/Business operations specialists/Human resources workers/Farm labor contractors"
"58","Labor relations specialists",4,"Line item","81.1","74.8","-6.3",-7.7,1,"6.8","$63,200 ","Bachelor's degree","Less than 5 years","None","Labor relations specialists","Jobs","Labor relations specialists","Human resources workers","Business operations specialists","Business & financial operations occupations","Jobs/Business & financial operations occupations/Business operations specialists/Human resources workers/Labor relations specialists"
"59","Logisticians",3,"Line item","148.7","159","10.3",6.9,NA,"15.6","$74,590 ","Bachelor's degree","None","None","Logisticians","Jobs","Labor relations specialists","Logisticians","Business operations specialists","Business & financial operations occupations","Jobs/Business & financial operations occupations/Business operations specialists/Logisticians/Labor relations specialists"
"60","Management analysts",3,"Line item","806.4","921.6","115.2",14.3,17.4,"83.9","$82,450 ","Bachelor's degree","Less than 5 years","None","Management analysts","Jobs","Labor relations specialists","Management analysts","Business operations specialists","Business & financial operations occupations","Jobs/Business & financial operations occupations/Business operations specialists/Management analysts/Labor relations specialists"
"61","Meeting, convention, & event planners",3,"Line item","116.7","129.4","12.7",10.9,9.5,"15.1","$48,290 ","Bachelor's degree","None","None","Meeting, convention, etc","Jobs","Labor relations specialists","Meeting, convention, etc","Business operations specialists","Business & financial operations occupations","Jobs/Business & financial operations occupations/Business operations specialists/Meeting, convention, etc/Labor relations specialists"
"62","Fundraisers",3,"Line item","90.4","103.8","13.4",14.8,2.3,"10.7","$55,640 ","Bachelor's degree","None","None","Fundraisers","Jobs","Labor relations specialists","Fundraisers","Business operations specialists","Business & financial operations occupations","Jobs/Business & financial operations occupations/Business operations specialists/Fundraisers/Labor relations specialists"
"63","Compensation, benefits, & job analysis specialists",3,"Line item","84.2","91.3","7.2",8.5,0.2,"7.7","$62,680 ","Bachelor's degree","Less than 5 years","None","Compensation, benefits, etc","Jobs","Labor relations specialists","Compensation, benefits, etc","Business operations specialists","Business & financial operations occupations","Jobs/Business & financial operations occupations/Business operations specialists/Compensation, benefits, etc/Labor relations specialists"
"64","Training & development specialists",3,"Line item","282.8","315.3","32.5",11.5,1.2,"31.7","$60,360 ","Bachelor's degree","Less than 5 years","None","Training & development specialists","Jobs","Labor relations specialists","Training & development specialists","Business operations specialists","Business & financial operations occupations","Jobs/Business & financial operations occupations/Business operations specialists/Training & development specialists/Labor relations specialists"
"65","Market research analysts & marketing specialists",3,"Line item","595.4","733.7","138.3",23.2,3.6,"77.1","$63,230 ","Bachelor's degree","None","None","Market research analysts & marketing specialists","Jobs","Labor relations specialists","Market research analysts & marketing specialists","Business operations specialists","Business & financial operations occupations","Jobs/Business & financial operations occupations/Business operations specialists/Market research analysts & marketing specialists/Labor relations specialists"
"66","Business operations specialists, all other",3,"Line item","1,023.90","1,114.30","90.3",8.8,0.6,"104.2","$70,010 ","Bachelor's degree","None","None","Business operations specialists, all other","Jobs","Labor relations specialists","Business operations specialists, all other","Business operations specialists","Business & financial operations occupations","Jobs/Business & financial operations occupations/Business operations specialists/Business operations specialists, all other/Labor relations specialists"
"67","Financial specialists",2,"Summary","2,986.00","3,284.40","298.4",10,7.5,"289.6","$70,120 ",NA,NA,NA,"Financial specialists","Jobs","Labor relations specialists","Business operations specialists, all other","Financial specialists","Business & financial operations occupations","Jobs/Business & financial operations occupations/Financial specialists/Business operations specialists, all other/Labor relations specialists"
"68","Accountants & auditors",3,"Line item","1,397.70","1,537.60","139.9",10,6.7,"141.8","$69,350 ","Bachelor's degree","None","None","Accountants & auditors","Jobs","Labor relations specialists","Accountants & auditors","Financial specialists","Business & financial operations occupations","Jobs/Business & financial operations occupations/Financial specialists/Accountants & auditors/Labor relations specialists"
"69","Appraisers & assessors of real estate",3,"Line item","80.8","92.4","11.7",14.4,22.6,"6.7","$54,010 ","Bachelor's degree","None","Long-term on-the-job training","Appraisers & assessors of real estate","Jobs","Labor relations specialists","Appraisers & assessors of real estate","Financial specialists","Business & financial operations occupations","Jobs/Business & financial operations occupations/Financial specialists/Appraisers & assessors of real estate/Labor relations specialists"
"70","Budget analysts",3,"Line item","58.4","62.2","3.8",6.5,NA,"4.8","$75,240 ","Bachelor's degree","None","None","Budget analysts","Jobs","Labor relations specialists","Budget analysts","Financial specialists","Business & financial operations occupations","Jobs/Business & financial operations occupations/Financial specialists/Budget analysts/Labor relations specialists"
"71","Credit analysts",3,"Line item","73.8","79.9","6.2",8.4,NA,"6.8","$71,290 ","Bachelor's degree","None","None","Credit analysts","Jobs","Labor relations specialists","Credit analysts","Financial specialists","Business & financial operations occupations","Jobs/Business & financial operations occupations/Financial specialists/Credit analysts/Labor relations specialists"
"72","Financial analysts & advisors",3,"Summary","672","739.2","67.2",10,10.8,"62.1","$82,770 ",NA,NA,NA,"Financial analysts & advisors","Jobs","Labor relations specialists","Financial analysts & advisors","Financial specialists","Business & financial operations occupations","Jobs/Business & financial operations occupations/Financial specialists/Financial analysts & advisors/Labor relations specialists"
"73","Financial analysts",4,"Line item","296.1","328.2","32.2",10.9,2.1,"29","$84,300 ","Bachelor's degree","None","None","Financial analysts","Jobs","Financial analysts","Financial analysts & advisors","Financial specialists","Business & financial operations occupations","Jobs/Business & financial operations occupations/Financial specialists/Financial analysts & advisors/Financial analysts"
"74","Personal financial advisors",4,"Line item","271.9","312.3","40.4",14.9,24.3,"25.5","$90,640 ","Bachelor's degree","None","Long-term on-the-job training","Personal financial advisors","Jobs","Personal financial advisors","Financial analysts & advisors","Financial specialists","Business & financial operations occupations","Jobs/Business & financial operations occupations/Financial specialists/Financial analysts & advisors/Personal financial advisors"
"75","Insurance underwriters",4,"Line item","104.1","98.6","-5.4",-5.2,NA,"7.5","$69,760 ","Bachelor's degree","None","Moderate-term on-the-job training","Insurance underwriters","Jobs","Insurance underwriters","Financial analysts & advisors","Financial specialists","Business & financial operations occupations","Jobs/Business & financial operations occupations/Financial specialists/Financial analysts & advisors/Insurance underwriters"
"76","Financial examiners",3,"Line item","52.5","57.6","5.1",9.8,0.9,"4.6","$81,690 ","Bachelor's degree","None","Long-term on-the-job training","Financial examiners","Jobs","Insurance underwriters","Financial examiners","Financial specialists","Business & financial operations occupations","Jobs/Business & financial operations occupations/Financial specialists/Financial examiners/Insurance underwriters"
"77","Credit counselors & loan officers",3,"Summary","357","398.5","41.6",11.6,2.6,"34.2","$61,840 ",NA,NA,NA,"Credit counselors & loan officers","Jobs","Insurance underwriters","Credit counselors & loan officers","Financial specialists","Business & financial operations occupations","Jobs/Business & financial operations occupations/Financial specialists/Credit counselors & loan officers/Insurance underwriters"
"78","Credit counselors",4,"Line item","38.3","43.6","5.3",13.8,2.1,"3.8","$44,710 ","Bachelor's degree","None","Moderate-term on-the-job training","Credit counselors","Jobs","Credit counselors","Credit counselors & loan officers","Financial specialists","Business & financial operations occupations","Jobs/Business & financial operations occupations/Financial specialists/Credit counselors & loan officers/Credit counselors"
"79","Loan officers",4,"Line item","318.6","354.9","36.3",11.4,2.6,"30.4","$64,660 ","Bachelor's degree","None","Moderate-term on-the-job training","Loan officers","Jobs","Loan officers","Credit counselors & loan officers","Financial specialists","Business & financial operations occupations","Jobs/Business & financial operations occupations/Financial specialists/Credit counselors & loan officers/Loan officers"
"80","Tax examiners, collectors & preparers, & revenue agents",3,"Summary","158","167.9","9.9",6.3,14.3,"15.7","$46,840 ",NA,NA,NA,"Tax examiners, collectors & preparers, etc","Jobs","Loan officers","Tax examiners, collectors & preparers, etc","Financial specialists","Business & financial operations occupations","Jobs/Business & financial operations occupations/Financial specialists/Tax examiners, collectors & preparers, etc/Loan officers"
"81","Tax examiners & collectors, & revenue agents",4,"Line item","62.1","61.7","-0.4",-0.6,NA,"4.2","$53,130 ","Bachelor's degree","None","Moderate-term on-the-job training","Tax examiners & collectors, & revenue agents","Jobs","Tax examiners & collectors, & revenue agents","Tax examiners, collectors & preparers, etc","Financial specialists","Business & financial operations occupations","Jobs/Business & financial operations occupations/Financial specialists/Tax examiners, collectors & preparers, etc/Tax examiners & collectors, & revenue agents"
"82","Tax preparers",4,"Line item","95.9","106.2","10.3",10.8,23.6,"11.5","$38,730 ","High school diploma or equivalent","None","Moderate-term on-the-job training","Tax preparers","Jobs","Tax preparers","Tax examiners, collectors & preparers, etc","Financial specialists","Business & financial operations occupations","Jobs/Business & financial operations occupations/Financial specialists/Tax examiners, collectors & preparers, etc/Tax preparers"
"83","Financial specialists, all other",3,"Line item","135.9","149","13.1",9.6,5,"13.1","$69,520 ","Bachelor's degree","None","Moderate-term on-the-job training","Financial specialists, all other","Jobs","Tax preparers","Financial specialists, all other","Financial specialists","Business & financial operations occupations","Jobs/Business & financial operations occupations/Financial specialists/Financial specialists, all other/Tax preparers"
"84","Computer & mathematical occupations",1,"Summary","4,419.00","5,026.50","607.5",13.7,2.6,"366.8","$84,560 ",NA,NA,NA,"Computer & mathematical occupations","Jobs","Tax preparers","Financial specialists, all other","Financial specialists","Computer & mathematical occupations","Jobs/Computer & mathematical occupations/Financial specialists/Financial specialists, all other/Tax preparers"
"85","Computer occupations",2,"Summary","4,238.40","4,795.50","557.1",13.1,2.7,"349","$84,580 ",NA,NA,NA,"Computer occupations","Jobs","Tax preparers","Financial specialists, all other","Computer occupations","Computer & mathematical occupations","Jobs/Computer & mathematical occupations/Computer occupations/Financial specialists, all other/Tax preparers"
"86","Computer & information research scientists",3,"Line item","27.9","33.2","5.4",19.2,NA,"2.5","$114,520 ","Master's degree","None","None","Computer & information research scientists","Jobs","Tax preparers","Computer & information research scientists","Computer occupations","Computer & mathematical occupations","Jobs/Computer & mathematical occupations/Computer occupations/Computer & information research scientists/Tax preparers"
"87","Computer & information analysts",3,"Summary","700.5","783.4","82.9",11.8,1.9,"55.4","$89,280 ",NA,NA,NA,"Computer & information analysts","Jobs","Tax preparers","Computer & information analysts","Computer occupations","Computer & mathematical occupations","Jobs/Computer & mathematical occupations/Computer occupations/Computer & information analysts/Tax preparers"
