"","title","Hierarchy","Occupation.type","Employment.2016","Employment.2026","ChgEmploy.2016to26.Num","ChgEmploy.2016to26.Perc","Percent.self.employed..2016","Occupational.openings..2016.26.annual.average","Median.annual.wage..2017.1.","Typical.education.needed.for.entry","Work.experience.in.a.related.occupation","Typical.on.the.job.training.needed.to.attain.competency.in.the.occupation","ttl","Level0","Level4","Level3","Level2","Level1","pathString"
"352","Set & exhibit designers",4,"Line item","14.6","16.1","1.5",10.3,18.2,"1.6","$53,090 ","Bachelor's degree","None","None","Set & exhibit designers","Jobs","Set & exhibit designers","Designers","Art & design workers","Arts, design, etc","Jobs/Arts, design, etc/Art & design workers/Designers/Set & exhibit designers"
"353","Designers, all other",4,"Line item","9","9.5","0.5",5.8,18.8,"0.9","$55,930 ","Bachelor's degree","None","None","Designers, all other","Jobs","Designers, all other","Designers","Art & design workers","Arts, design, etc","Jobs/Arts, design, etc/Art & design workers/Designers/Designers, all other"
"354","Entertainers & performers, sports & related workers",2,"Summary","801.9","881.6","79.6",9.9,21,"99.8","$42,010 ",NA,NA,NA,"Entertainers & performers, sports & related workers","Jobs","Designers, all other","Designers","Entertainers & performers, sports & related workers","Arts, design, etc","Jobs/Arts, design, etc/Entertainers & performers, sports & related workers/Designers/Designers, all other"
"355","Actors, producers, & directors",3,"Summary","198.5","222.4","23.8",12,19.2,"21.4","$62,760 ",NA,NA,NA,"Actors, producers, etc","Jobs","Designers, all other","Actors, producers, etc","Entertainers & performers, sports & related workers","Arts, design, etc","Jobs/Arts, design, etc/Entertainers & performers, sports & related workers/Actors, producers, etc/Designers, all other"
"356","Actors",4,"Line item","63.8","71.2","7.4",11.6,25.8,"7.4",NA,"Some college, no degree","None","Long-term on-the-job training","Actors","Jobs","Actors","Actors, producers, etc","Entertainers & performers, sports & related workers","Arts, design, etc","Jobs/Arts, design, etc/Entertainers & performers, sports & related workers/Actors, producers, etc/Actors"
"357","Producers & directors",4,"Line item","134.7","151.2","16.5",12.2,16,"14.1","$71,620 ","Bachelor's degree","Less than 5 years","None","Producers & directors","Jobs","Producers & directors","Actors, producers, etc","Entertainers & performers, sports & related workers","Arts, design, etc","Jobs/Arts, design, etc/Entertainers & performers, sports & related workers/Actors, producers, etc/Producers & directors"
"358","Athletes, coaches, umpires, & related workers",3,"Summary","309","347.2","38.2",12.3,10.1,"46.9","$32,200 ",NA,NA,NA,"Athletes, coaches, etc","Jobs","Producers & directors","Athletes, coaches, etc","Entertainers & performers, sports & related workers","Arts, design, etc","Jobs/Arts, design, etc/Entertainers & performers, sports & related workers/Athletes, coaches, etc/Producers & directors"
"359","Athletes & sports competitors",4,"Line item","11.8","12.7","0.9",7.5,14.8,"1.7","$51,370 ","No formal educational credential","None","Long-term on-the-job training","Athletes & sports competitors","Jobs","Athletes & sports competitors","Athletes, coaches, etc","Entertainers & performers, sports & related workers","Arts, design, etc","Jobs/Arts, design, etc/Entertainers & performers, sports & related workers/Athletes, coaches, etc/Athletes & sports competitors"
"360","Coaches & scouts",4,"Line item","276.1","311.7","35.7",12.9,10,"42.1","$32,270 ","Bachelor's degree","None","None","Coaches & scouts","Jobs","Coaches & scouts","Athletes, coaches, etc","Entertainers & performers, sports & related workers","Arts, design, etc","Jobs/Arts, design, etc/Entertainers & performers, sports & related workers/Athletes, coaches, etc/Coaches & scouts"
"361","Umpires, referees, & other sports officials",4,"Line item","21.1","22.7","1.6",7.6,8.8,"3","$26,800 ","High school diploma or equivalent","None","Moderate-term on-the-job training","Umpires, referees, etc","Jobs","Umpires, referees, etc","Athletes, coaches, etc","Entertainers & performers, sports & related workers","Arts, design, etc","Jobs/Arts, design, etc/Entertainers & performers, sports & related workers/Athletes, coaches, etc/Umpires, referees, etc"
