title,Hierarchy,"Occupationtype",Employment.2016,Employment.2026,ChgEmploy.2016to26.Num,ChgEmploy.2016to26.Perc,"Percent self employed, 2016","Occupational openings, 2016-26 annual average","Median annual wage, 2017(1)",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
Concierges,3,Line item,32.5,36.2,3.7,11.3,NA,5,"$30,150 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Tour & travel guides,2,Summary,49.4,54.3,4.9,9.9,11.9,9.4,"$25,770 ",NA,NA,NA
Tour guides & escorts,3,Line item,45.8,50.6,4.7,10.3,11.9,8.7, NA ,High school diploma or equivalent,None,Moderate-term on-the-job training
Travel guides,3,Line item,3.6,3.8,0.2,4.9,12.5,0.6, NA ,High school diploma or equivalent,None,Moderate-term on-the-job training
Other personal care & service workers,2,Summary,"4,129.50","5,077.90",948.4,23,12,765.7,"$23,480 ",NA,NA,NA
Childcare workers,3,Line item,"1,216.60","1,300.90",84.3,6.9,28.8,189.1,"$22,290 ",High school diploma or equivalent,None,Short-term on-the-job training
Personal care aides,3,Line item,"2,016.10","2,793.80",777.6,38.6,3.6,414.3,"$23,100 ",High school diploma or equivalent,None,Short-term on-the-job training
Recreation & fitness workers,3,Summary,689.1,753.2,64,9.3,8.7,125.7,"$28,550 ",NA,NA,NA
Fitness trainers & aerobics instructors,4,Line item,299.2,329.2,30.1,10.1,10.9,55,"$39,210 ",High school diploma or equivalent,None,Short-term on-the-job training
Recreation workers,4,Line item,390,423.9,34,8.7,7,70.7,"$24,540 ",High school diploma or equivalent,None,Short-term on-the-job training
Residential advisors,3,Line item,118.8,134.1,15.3,12.9,NA,22.5,"$26,830 ",High school diploma or equivalent,None,Short-term on-the-job training
"Personal care & service workers, all other",3,Line item,88.9,95.9,7,7.9,15.7,14.1,"$25,900 ",High school diploma or equivalent,None,Short-term on-the-job training
Sales & related occupations,1,Summary,"15,747.80","16,206.50",458.7,2.9,7.8,"2,201.10","$27,020 ",NA,NA,NA
Supervisors of sales workers,2,Summary,"1,937.60","2,015.30",77.7,4,25.7,207.4,"$41,860 ",NA,NA,NA
First-line supervisors of retail sales workers,3,Line item,"1,532.40","1,590.10",57.7,3.8,22.8,168.5,"$38,550 ",High school diploma or equivalent,Less than 5 years,None
First-line supervisors of non-retail sales workers,3,Line item,405.2,425.2,20,4.9,36.8,39,"$71,650 ",High school diploma or equivalent,Less than 5 years,None
Retail sales workers,2,Summary,"8,891.50","8,978.80",87.3,1,1.9,"1,423.10","$22,400 ",NA,NA,NA
Cashiers,3,Summary,"3,578.90","3,548.90",-30,-0.8,0.6,658.2,"$21,050 ",NA,NA,NA
Cashiers,4,Line item,"3,555.50","3,524.90",-30.6,-0.9,0.6,653.7,"$21,030 ",No formal educational credential,None,Short-term on-the-job training
Gaming change persons & booth cashiers,4,Line item,23.4,24,0.6,2.6,0.3,4.5,"$23,910 ",No formal educational credential,None,Short-term on-the-job training
Counter & rental clerks & parts salespersons,3,Summary,710.1,747.7,37.7,5.3,0.7,94.7,"$27,130 ",NA,NA,NA
Counter & rental clerks,4,Line item,458.2,483.2,25,5.5,0.5,61.8,"$25,820 ",No formal educational credential,None,Short-term on-the-job training
Parts salespersons,4,Line item,251.9,264.5,12.7,5,0.9,32.9,"$29,380 ",No formal educational credential,None,Moderate-term on-the-job training
Retail salespersons,3,Line item,"4,602.50","4,682.10",79.7,1.7,3.2,670.3,"$23,210 ",No formal educational credential,None,Short-term on-the-job training
"Sales representatives, services",2,Summary,"2,091.80","2,244.80",153,7.3,7.1,249.2,"$52,460 ",NA,NA,NA
Advertising sales agents,3,Line item,149.9,144.5,-5.4,-3.6,5.8,17.7,"$49,680 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Insurance sales agents,3,Line item,501.4,551.2,49.8,9.9,18.4,54.7,"$49,710 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Securities, commodities, & financial services sales agents",3,Line item,375.7,398.9,23.3,6.2,4.8,38,"$63,780 ",Bachelor's degree,None,Moderate-term on-the-job training
Travel agents,3,Line item,81.7,72.2,-9.5,-11.7,14.9,7.8,"$36,990 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Sales representatives, services, all other",3,Line item,983,"1,077.90",94.9,9.7,1.8,131,"$52,510 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Sales representatives, wholesale & manufacturing",2,Summary,"1,813.50","1,907.60",94.1,5.2,3.8,195.4,"$60,340 ",NA,NA,NA
"Sales representatives, wholesale & manufacturing, technical & scientific products",3,Line item,343.6,361.3,17.6,5.1,3.8,37,"$78,830 ",Bachelor's degree,None,Moderate-term on-the-job training
"Sales representatives, wholesale & manufacturing, except technical & scientific products",3,Line item,"1,469.90","1,546.30",76.4,5.2,3.8,158.4,"$56,970 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Other sales & related workers,2,Summary,"1,013.40","1,060.00",46.5,4.6,33.9,125.9,"$33,630 ",NA,NA,NA
"Models, demonstrators, & product promoters",3,Summary,99.5,105.7,6.2,6.2,8,17.9,"$26,970 ",NA,NA,NA
Demonstrators & product promoters,4,Line item,94.7,100.9,6.2,6.6,8,17.1,"$27,060 ",No formal educational credential,None,Short-term on-the-job training
Models,4,Line item,4.8,4.8,-0.1,-1.3,6.6,0.8,"$22,900 ",No formal educational credential,None,None
Real estate brokers & sales agents,3,Summary,444.1,469,24.9,5.6,56,43.7,"$47,880 ",NA,NA,NA
Real estate brokers,4,Line item,95.3,100,4.7,4.9,56.5,9.3,"$56,730 ",High school diploma or equivalent,Less than 5 years,None
Real estate sales agents,4,Line item,348.8,369,20.2,5.8,55.8,34.4,"$45,990 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Sales engineers,3,Line item,74.9,80.1,5.2,6.9,0.1,8.3,"$98,720 ",Bachelor's degree,None,Moderate-term on-the-job training
Telemarketers,3,Line item,216.6,216.6,0,0,0.3,33.3,"$24,460 ",No formal educational credential,None,Short-term on-the-job training
Miscellaneous sales & related workers,3,Summary,178.3,188.6,10.3,5.8,48.5,22.7,"$32,840 ",NA,NA,NA
"Door-to-door sales workers, news & street vendors, & related workers",4,Line item,82.4,82.4,0.1,0.1,90.2,8.6,"$23,810 ",No formal educational credential,None,Short-term on-the-job training
"Sales & related workers, all other",4,Line item,95.9,106.1,10.2,10.6,12.7,14.1,"$33,890 ",High school diploma or equivalent,None,None
Office & administrative support occupations,1,Summary,"23,081.20","23,230.80",149.6,0.6,1,"2,596.40","$34,740 ",NA,NA,NA
Supervisors of office & administrative support workers,2,Summary,"1,506.30","1,557.40",51.2,3.4,0.8,153,"$55,060 ",NA,NA,NA
First-line supervisors of office & administrative support workers,3,Line item,"1,506.30","1,557.40",51.2,3.4,0.8,153,"$55,060 ",High school diploma or equivalent,Less than 5 years,None
Communications equipment operators,2,Summary,104.7,84.4,-20.3,-19.4,NA,10.2,"$29,160 ",NA,NA,NA
"Switchboard operators, including answering service",3,Line item,93.2,74.7,-18.5,-19.9,NA,9,"$28,700 ",High school diploma or equivalent,None,Short-term on-the-job training
Telephone operators,3,Line item,9.1,7,-2,-22.6,NA,0.9,"$36,320 ",High school diploma or equivalent,None,Short-term on-the-job training
"Communications equipment operators, all other",3,Line item,2.4,2.6,0.2,10.4,NA,0.3,"$41,480 ",High school diploma or equivalent,None,Short-term on-the-job training
Financial clerks,2,Summary,"3,336.60","3,330.40",-6.3,-0.2,2.2,358.5,"$36,520 ",NA,NA,NA
Bill & account collectors,3,Line item,305.7,296.7,-9.1,-3,0.7,30.2,"$35,330 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Billing & posting clerks,3,Line item,501,571.6,70.7,14.1,1,59.5,"$36,860 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Bookkeeping, accounting, & auditing clerks",3,Line item,"1,730.50","1,705.30",-25.2,-1.5,3.8,186.4,"$39,240 ","Some college, no degree",None,Moderate-term on-the-job training
Gaming cage workers,3,Line item,19,19.3,0.3,1.4,NA,3,"$26,320 ",High school diploma or equivalent,None,Short-term on-the-job training
Payroll & timekeeping clerks,3,Line item,166.3,164.7,-1.6,-0.9,0.3,16.1,"$43,890 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Procurement clerks,3,Line item,74.9,71.7,-3.2,-4.3,1,7.5,"$41,910 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Tellers,3,Line item,502.7,460.9,-41.8,-8.3,0.1,51.5,"$28,110 ",High school diploma or equivalent,None,Short-term on-the-job training
"Financial clerks, all other",3,Line item,36.6,40.2,3.6,9.9,2.9,4.3,"$39,970 ",High school diploma or equivalent,None,Short-term on-the-job training
Information & record clerks,2,Summary,"5,830.00","6,137.90",307.9,5.3,0.6,760,"$32,270 ",NA,NA,NA
Brokerage clerks,3,Line item,60.4,63.4,3,5,NA,6.6,"$49,800 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Correspondence clerks,3,Line item,7.2,7.4,0.2,2.1,1.1,0.8,"$36,620 ",High school diploma or equivalent,None,Short-term on-the-job training
"Court, municipal, & license clerks",3,Line item,135.5,144.2,8.8,6.5,1.5,12.6,"$37,300 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Credit authorizers, checkers, & clerks",3,Line item,38.5,37.4,-1.1,-2.8,1,3.7,"$37,290 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Customer service representatives,3,Line item,"2,784.50","2,920.80",136.3,4.9,0.5,373.5,"$32,890 ",High school diploma or equivalent,None,Short-term on-the-job training
"Eligibility interviewers, government programs",3,Line item,143.1,151.6,8.5,6,NA,13.6,"$44,400 ",High school diploma or equivalent,None,Moderate-term on-the-job training
File clerks,3,Line item,135,121,-14,-10.4,0.7,14.2,"$30,120 ",High school diploma or equivalent,None,Short-term on-the-job training
"Hotel, motel, & resort desk clerks",3,Line item,252.6,263.8,11.2,4.4,0.4,40.9,"$22,850 ",High school diploma or equivalent,None,Short-term on-the-job training
"Interviewers, except eligibility & loan",3,Line item,194.7,205.7,11,5.7,0,24.3,"$33,110 ",High school diploma or equivalent,None,Short-term on-the-job training
"Library assistants, clerical",3,Line item,104.3,114.1,9.8,9.4,NA,16.3,"$25,810 ",High school diploma or equivalent,None,Short-term on-the-job training
Loan interviewers & clerks,3,Line item,229.8,258.2,28.4,12.3,0.8,25.7,"$39,060 ",High school diploma or equivalent,None,Short-term on-the-job training
New accounts clerks,3,Line item,42,39.4,-2.6,-6.2,NA,4,"$35,260 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Order clerks,3,Line item,179,175.3,-3.7,-2.1,1.2,19.4,"$33,510 ",High school diploma or equivalent,None,Short-term on-the-job training
"Human resources assistants, except payroll & timekeeping",3,Line item,141.5,138.9,-2.6,-1.8,NA,15.1,"$39,480 ",Associate's degree,None,None
Receptionists & information clerks,3,Line item,"1,053.70","1,149.20",95.5,9.1,1,151.1,"$28,390 ",High school diploma or equivalent,None,Short-term on-the-job training
Reservation & transportation ticket agents & travel clerks,3,Line item,150.1,155.8,5.6,3.8,0.5,16.3,"$36,280 ",High school diploma or equivalent,None,Short-term on-the-job training
"Information & record clerks, all other",3,Line item,178.1,191.7,13.6,7.6,0.1,21.9,"$39,860 ",High school diploma or equivalent,None,Short-term on-the-job training
"Material recording, scheduling, dispatching, & distributing workers",2,Summary,"4,117.50","4,199.40",81.9,2,0.7,454.5,"$31,100 ",NA,NA,NA
Cargo & freight agents,3,Line item,89.8,99.1,9.3,10.4,0.2,8.6,"$41,820 ",High school diploma or equivalent,None,Short-term on-the-job training
Couriers & messengers,3,Line item,95,105.9,10.9,11.5,20.1,10.1,"$28,250 ",High school diploma or equivalent,None,Short-term on-the-job training
Dispatchers,3,Summary,300.3,308.3,8,2.7,0.7,27.9,"$39,090 ",NA,NA,NA
"Police, fire, & ambulance dispatchers",4,Line item,98.6,106.7,8.2,8.3,NA,10,"$39,640 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Dispatchers, except police, fire, & ambulance",4,Line item,201.7,201.6,-0.1,-0.1,1,18,"$38,790 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Meter readers, utilities",3,Line item,34.8,33.2,-1.5,-4.4,NA,2.3,"$39,240 ",High school diploma or equivalent,None,Short-term on-the-job training
Postal service workers,3,Summary,502.4,437.1,-65.3,-13,NA,26.1,"$57,260 ",NA,NA,NA
Postal service clerks,4,Line item,79,69.5,-9.5,-12.1,NA,4.8,"$58,550 ",High school diploma or equivalent,None,Short-term on-the-job training
Postal service mail carriers,4,Line item,316.7,278.5,-38.2,-12.1,NA,16.1,"$57,000 ",High school diploma or equivalent,None,Short-term on-the-job training
"Postal service mail sorters, processors, & processing machine operators",4,Line item,106.7,89.1,-17.5,-16.5,NA,5.2,"$57,260 ",High school diploma or equivalent,None,Short-term on-the-job training
"Production, planning, & expediting clerks",3,Line item,329.4,347.4,18,5.5,0.6,35.5,"$46,670 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Shipping, receiving, & traffic clerks",3,Line item,681.4,681.5,0.1,0,0.1,67.2,"$31,810 ",High school diploma or equivalent,None,Short-term on-the-job training
Stock clerks & order fillers,3,Line item,"2,008.60","2,109.60",100.9,5,0.2,269.2,"$24,470 ",High school diploma or equivalent,None,Short-term on-the-job training
"Weighers, measurers, checkers, & samplers, recordkeeping",3,Line item,75.9,77.3,1.4,1.8,1.3,7.6,"$30,180 ",High school diploma or equivalent,None,Short-term on-the-job training
Secretaries & administrative assistants,2,Summary,"3,990.40","3,798.20",-192.2,-4.8,0.9,394.6,"$37,870 ",NA,NA,NA
Executive secretaries & executive administrative assistants,3,Line item,685.3,566.2,-119.2,-17.4,0.9,54.6,"$57,410 ",High school diploma or equivalent,Less than 5 years,None
Legal secretaries,3,Line item,194.7,157.5,-37.1,-19.1,1.1,15,"$44,730 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Medical secretaries,3,Line item,574.2,703.2,129,22.5,1.1,80.8,"$34,610 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Secretaries & administrative assistants, except legal, medical, & executive",3,Line item,"2,536.20","2,371.30",-164.9,-6.5,0.9,244.3,"$35,590 ",High school diploma or equivalent,None,Short-term on-the-job training
Other office & administrative support workers,2,Summary,"4,195.70","4,123.20",-72.5,-1.7,1,465.6,"$32,560 ",NA,NA,NA
Computer operators,3,Line item,51.5,39.7,-11.8,-22.8,5.1,3.4,"$44,270 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Data entry & information processing workers,3,Summary,278.7,210.7,-68.1,-24.4,3.1,21.3,"$32,960 ",NA,NA,NA
Data entry keyers,4,Line item,203.8,160.6,-43.3,-21.2,1.6,16.8,"$30,930 ",High school diploma or equivalent,None,Short-term on-the-job training
Word processors & typists,4,Line item,74.9,50.1,-24.8,-33.1,7.2,4.5,"$39,740 ",High school diploma or equivalent,None,Short-term on-the-job training
Desktop publishers,3,Line item,14.6,12.5,-2,-14,7,1.2,"$42,350 ",Associate's degree,None,Short-term on-the-job training
Insurance claims & policy processing clerks,3,Line item,308.5,342.6,34.1,11.1,1,35.6,"$38,790 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Mail clerks & mail machine operators, except postal service",3,Line item,95.5,88.4,-7.1,-7.4,0.1,9.4,"$29,620 ",High school diploma or equivalent,None,Short-term on-the-job training
"Office clerks, general",3,Line item,"3,117.70","3,086.00",-31.8,-1,0.4,356.2,"$31,500 ",High school diploma or equivalent,None,Short-term on-the-job training
"Office machine operators, except computer",3,Line item,59.9,50.5,-9.4,-15.6,NA,5.1,"$31,360 ",High school diploma or equivalent,None,Short-term on-the-job training
Proofreaders & copy markers,3,Line item,14.2,14.4,0.2,1.7,12.3,2.2,"$37,550 ",Bachelor's degree,None,None
Statistical assistants,3,Line item,11.8,12.9,1.1,9.2,NA,1.6,"$47,400 ",Bachelor's degree,None,None
"Office & administrative support workers, all other",3,Line item,243.2,265.4,22.1,9.1,4,29.4,"$35,590 ",High school diploma or equivalent,None,Short-term on-the-job training
"Farming, fishing, & forestry occupations",1,Summary,"1,060.10","1,056.70",-3.5,-0.3,4,154.3,"$24,390 ",NA,NA,NA
"Supervisors of farming, fishing, & forestry workers",2,Summary,48.7,49.7,0.9,1.9,12.3,6.5,"$46,570 ",NA,NA,NA
"First-line supervisors of farming, fishing, & forestry workers",3,Line item,48.7,49.7,0.9,1.9,12.3,6.5,"$46,570 ",High school diploma or equivalent,Less than 5 years,None
Agricultural workers,2,Summary,914.8,914.7,0,0,0.5,136.7,"$23,830 ",NA,NA,NA
Agricultural inspectors,3,Line item,15.6,16.3,0.7,4.6,NA,2.2,"$43,390 ",Bachelor's degree,None,Moderate-term on-the-job training
Animal breeders,3,Line item,9,9.2,0.2,2,NA,1.4,"$37,560 ",High school diploma or equivalent,None,Short-term on-the-job training
"Graders & sorters, agricultural products",3,Line item,42.9,42.5,-0.4,-0.9,0.2,5.7,"$23,340 ",No formal educational credential,None,Short-term on-the-job training
Miscellaneous agricultural workers,3,Summary,847.3,846.7,-0.6,-0.1,0.5,127.5,"$23,710 ",NA,NA,NA
Agricultural equipment operators,4,Line item,63.9,67.4,3.5,5.5,0.6,10.2,"$30,110 ",No formal educational credential,None,Moderate-term on-the-job training
"Farmworkers & laborers, crop, nursery, & greenhouse",4,Line item,503.7,509.2,5.5,1.1,0.7,76.8,"$23,380 ",No formal educational credential,None,Short-term on-the-job training
"Farmworkers, farm, ranch, & aquacultural animals",4,Line item,268.1,258,-10.1,-3.8,0.2,38.6,"$25,470 ",No formal educational credential,None,Short-term on-the-job training
"Agricultural workers, all other",4,Line item,11.6,12.1,0.5,4.4,0.4,1.8,"$30,600 ",No formal educational credential,None,Short-term on-the-job training
Fishing & hunting workers,2,Line item,27,29.9,2.9,10.8,60.6,3.1,"$28,530 ",NA,NA,NA
"Forest, conservation, & logging workers",2,Summary,69.6,62.4,-7.3,-10.4,22.3,8,"$37,460 ",NA,NA,NA
Forest & conservation workers,3,Line item,14.3,14,-0.3,-2.4,13.6,2.1,"$27,650 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Logging workers,3,Summary,55.3,48.4,-6.9,-12.5,24.6,5.9,"$38,840 ",NA,NA,NA
Fallers,4,Line item,7.5,6.3,-1.2,-16.2,25.1,0.8,"$40,690 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Logging equipment operators,4,Line item,39.1,34.2,-4.9,-12.6,24.6,4.2,"$38,390 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Log graders & scalers,4,Line item,4.2,4.1,-0.1,-3,25.1,0.5,"$37,880 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Logging workers, all other",4,Line item,4.5,3.9,-0.7,-14.7,23.3,0.5,"$39,740 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Construction & extraction occupations,1,Summary,"6,812.50","7,560.00",747.6,11,17.5,798.1,"$44,730 ",NA,NA,NA
Supervisors of construction & extraction workers,2,Summary,602.5,678.3,75.8,12.6,10.2,68.5,"$64,070 ",NA,NA,NA
First-line supervisors of construction trades & extraction workers,3,Line item,602.5,678.3,75.8,12.6,10.2,68.5,"$64,070 ",High school diploma or equivalent,5 years or more,None
Construction trades workers,2,Summary,"5,347.00","5,908.00",561,10.5,20.6,610.5,"$43,490 ",NA,NA,NA
Boilermakers,3,Line item,17.2,18.7,1.5,9,3.2,1.9,"$62,260 ",High school diploma or equivalent,None,Apprenticeship
"Brickmasons, blockmasons, & stonemasons",3,Summary,110,121.2,11.2,10.2,29.8,10.9,"$48,200 ",NA,NA,NA
Brickmasons & blockmasons,4,Line item,91.1,100.5,9.4,10.3,29.8,9,"$49,770 ",High school diploma or equivalent,None,Apprenticeship
Stonemasons,4,Line item,18.9,20.7,1.8,9.5,29.9,1.8,"$38,940 ",High school diploma or equivalent,None,Apprenticeship
Carpenters,3,Line item,"1,025.60","1,109.40",83.8,8.2,33.2,104.4,"$45,170 ",High school diploma or equivalent,None,Apprenticeship
"Carpet, floor, & tile installers & finishers",3,Summary,122.3,134,11.7,9.6,35.9,11.9,"$40,250 ",NA,NA,NA
Carpet installers,4,Line item,40.4,44.2,3.8,9.4,35.9,3.9,"$38,830 ",No formal educational credential,None,Short-term on-the-job training
"Floor layers, except carpet, wood, & hard tiles",4,Line item,16.3,17.9,1.6,9.7,35.8,1.6,"$40,040 ",No formal educational credential,None,Moderate-term on-the-job training
Floor sanders & finishers,4,Line item,7.3,7.9,0.7,9.5,35.9,0.7,"$36,950 ",No formal educational credential,None,Moderate-term on-the-job training
Tile & marble setters,4,Line item,58.3,64,5.6,9.7,35.9,5.7,"$41,680 ",No formal educational credential,None,Long-term on-the-job training
"Cement masons, concrete finishers, & terrazzo workers",3,Summary,182.5,205.5,23,12.6,2.4,22.8,"$40,650 ",NA,NA,NA
Cement masons & concrete finishers,4,Line item,178.9,201.5,22.5,12.6,2.4,22.4,"$40,650 ",No formal educational credential,None,Moderate-term on-the-job training
Terrazzo workers & finishers,4,Line item,3.6,4,0.4,12.3,2.4,0.4,"$40,590 ",High school diploma or equivalent,None,Apprenticeship
Construction laborers,3,Line item,"1,216.70","1,367.10",150.4,12.4,25.1,145.3,"$34,530 ",No formal educational credential,None,Short-term on-the-job training
Construction equipment operators,3,Summary,426.6,479.3,52.7,12.3,3.1,53.9,"$46,080 ",NA,NA,NA
"Paving, surfacing, & tamping equipment operators",4,Line item,51.9,58.2,6.3,12.1,0.3,6.2,"$39,120 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Pile-driver operators,4,Line item,3.7,4.2,0.5,14.6,4.1,0.5,"$57,650 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Operating engineers & other construction equipment operators,4,Line item,371.1,416.9,45.8,12.3,3.5,47.3,"$47,040 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Drywall installers, ceiling tile installers, & tapers",3,Summary,143.2,144.4,1.2,0.9,22.3,12.5,"$43,970 ",NA,NA,NA
Drywall & ceiling tile installers,4,Line item,119.5,120.7,1.2,1,22.3,10.5,"$42,860 ",No formal educational credential,None,Moderate-term on-the-job training
Tapers,4,Line item,23.7,23.8,0.1,0.3,22.3,2.1,"$51,620 ",No formal educational credential,None,Moderate-term on-the-job training
Electricians,3,Line item,666.9,726.5,59.6,8.9,8.1,82,"$54,110 ",High school diploma or equivalent,None,Apprenticeship
Glaziers,3,Line item,50.1,55.3,5.3,10.5,5.3,6.5,"$42,580 ",High school diploma or equivalent,None,Apprenticeship
Insulation workers,3,Summary,59.5,62.7,3.2,5.3,4.9,6.6,"$39,930 ",NA,NA,NA
"Insulation workers, floor, ceiling, & wall",4,Line item,30.9,31.3,0.4,1.3,5,3.3,"$37,050 ",No formal educational credential,None,Short-term on-the-job training
"Insulation workers, mechanical",4,Line item,28.6,31.4,2.8,9.7,4.9,3.4,"$45,550 ",High school diploma or equivalent,None,Apprenticeship
Painters & paperhangers,3,Summary,387.3,409.4,22.2,5.7,42.3,35.7,"$37,950 ",NA,NA,NA
"Painters, construction & maintenance",4,Line item,381.5,403.4,21.9,5.7,42.3,35.2,"$37,960 ",No formal educational credential,None,Moderate-term on-the-job training
Paperhangers,4,Line item,5.7,6,0.3,4.6,43.9,0.5,"$37,030 ",No formal educational credential,None,Long-term on-the-job training
"Pipelayers, plumbers, pipefitters, & steamfitters",3,Summary,524.8,607.5,82.7,15.8,12.4,66.7,"$51,420 ",NA,NA,NA
Pipelayers,4,Line item,44.1,51.7,7.6,17.2,10.7,5.7,"$38,400 ",No formal educational credential,None,Short-term on-the-job training
"Plumbers, pipefitters, & steamfitters",4,Line item,480.6,555.8,75.2,15.6,12.6,61,"$52,590 ",High school diploma or equivalent,None,Apprenticeship
Plasterers & stucco masons,3,Line item,27.7,28.8,1.1,3.9,18,2.7,"$40,750 ",No formal educational credential,None,Long-term on-the-job training
Reinforcing iron & rebar workers,3,Line item,20.1,22.5,2.4,12.1,NA,2.4,"$46,850 ",High school diploma or equivalent,None,Apprenticeship
Roofers,3,Line item,146.2,162.4,16.2,11.1,20.9,16.5,"$38,970 ",No formal educational credential,None,Moderate-term on-the-job training
Sheet metal workers,3,Line item,138.9,150.9,12,8.7,1.9,16.2,"$47,990 ",High school diploma or equivalent,None,Apprenticeship
Structural iron & steel workers,3,Line item,70.2,79.2,9,12.8,0.9,8.7,"$52,610 ",High school diploma or equivalent,None,Apprenticeship
Solar photovoltaic installers,3,Line item,11.3,23.1,11.8,104.9,20.3,3,"$39,490 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Helpers, construction trades",2,Summary,232.7,262.8,30.1,12.9,1,37.4,"$30,120 ",NA,NA,NA
"Helpers--brickmasons, blockmasons, stonemasons, & tile & marble setters",3,Line item,24.1,27,2.9,12.1,1,3.8,"$31,710 ",No formal educational credential,None,Short-term on-the-job training
Helpers--carpenters,3,Line item,36.7,41.4,4.7,12.8,1,5.9,"$29,860 ",No formal educational credential,None,Short-term on-the-job training
Helpers--electricians,3,Line item,73.2,80.9,7.7,10.6,1,11.5,"$30,540 ",High school diploma or equivalent,None,Short-term on-the-job training
"Helpers--painters, paperhangers, plasterers, & stucco masons",3,Line item,10.9,11.4,0.5,4.1,1,1.6,"$28,760 ",No formal educational credential,None,Short-term on-the-job training
"Helpers--pipelayers, plumbers, pipefitters, & steamfitters",3,Line item,55.5,65.8,10.3,18.6,0.9,9.5,"$29,890 ",High school diploma or equivalent,None,Short-term on-the-job training
Helpers--roofers,3,Line item,10.2,11.5,1.3,12.4,1,1.6,"$28,500 ",No formal educational credential,None,Short-term on-the-job training
"Helpers, construction trades, all other",3,Line item,22.1,24.8,2.7,12.1,0.9,3.5,"$29,660 ",No formal educational credential,None,Short-term on-the-job training
Other construction & related workers,2,Summary,435.8,480.4,44.6,10.2,5.6,53.2,"$44,090 ",NA,NA,NA
Construction & building inspectors,3,Line item,105.1,115.7,10.5,10,7.6,12.7,"$59,090 ",High school diploma or equivalent,5 years or more,Moderate-term on-the-job training
Elevator installers & repairers,3,Line item,22.1,24.8,2.7,12.1,NA,3,"$79,480 ",High school diploma or equivalent,None,Apprenticeship
Fence erectors,3,Line item,25.1,27.9,2.7,10.8,15.1,3.2,"$33,320 ",No formal educational credential,None,Moderate-term on-the-job training
Hazardous materials removal workers,3,Line item,46.2,54.1,7.9,17.2,4,6.7,"$41,400 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Highway maintenance workers,3,Line item,149.9,160.2,10.3,6.9,1,16.5,"$38,700 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Rail-track laying & maintenance equipment operators,3,Line item,14,15.2,1.2,8.6,NA,1.5,"$56,060 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Septic tank servicers & sewer pipe cleaners,3,Line item,28.5,33.4,4.9,17.2,7,4.3,"$37,950 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Miscellaneous construction & related workers,3,Summary,44.8,49.2,4.3,9.7,16.7,5.3,"$38,040 ",NA,NA,NA
Segmental pavers,4,Line item,2.1,2.4,0.3,12,20.7,0.3, NA ,High school diploma or equivalent,None,Moderate-term on-the-job training
"Construction & related workers, all other",4,Line item,42.7,46.8,4.1,9.6,16.5,5.1, NA ,High school diploma or equivalent,None,Moderate-term on-the-job training
Extraction workers,2,Summary,194.4,230.6,36.2,18.6,1.9,28.6,"$44,070 ",NA,NA,NA
"Derrick, rotary drill, & service unit operators, oil, gas, & mining",3,Summary,69.2,85.8,16.6,24,NA,10.8,"$49,000 ",NA,NA,NA
"Derrick operators, oil & gas",4,Line item,11.1,13.9,2.8,25.7,NA,1.8,"$46,140 ",No formal educational credential,None,Short-term on-the-job training
"Rotary drill operators, oil & gas",4,Line item,16.7,20.8,4,24.2,NA,2.6,"$53,980 ",No formal educational credential,None,Moderate-term on-the-job training
