title,Hierarchy,"Occupationtype",Employment.2016,Employment.2026,ChgEmploy.2016to26.Num,ChgEmploy.2016to26.Perc,"Percent self employed, 2016","Occupational openings, 2016-26 annual average","Median annual wage, 2017(1)",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
Health practitioner support technologists & technicians,3,Summary,767,857.2,90.2,11.8,0.2,71.4,"$33,860 ",NA,NA,NA
Dietetic technicians,4,Line item,33.4,36.5,3.1,9.3,NA,3,"$26,500 ",Associate's degree,None,None
Pharmacy technicians,4,Line item,402.5,450.1,47.6,11.8,0.2,37.5,"$31,750 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Psychiatric technicians,4,Line item,66.1,70,3.9,5.9,0.1,5.6,"$31,670 ",Postsecondary nondegree award,Less than 5 years,Short-term on-the-job training
Respiratory therapy technicians,4,Line item,10.8,4.7,-6.1,-56.3,NA,0,"$50,350 ",Associate's degree,None,None
Surgical technologists,4,Line item,107.7,120.3,12.6,11.7,0.2,10,"$46,310 ",Postsecondary nondegree award,None,None
Veterinary technologists & technicians,4,Line item,102,122.4,20.4,20,0.2,10.7,"$33,400 ",Associate's degree,None,None
Ophthalmic medical technicians,4,Line item,44.5,53.2,8.7,19.5,0.2,4.6,"$35,910 ",Postsecondary nondegree award,None,None
Licensed practical & licensed vocational nurses,3,Line item,724.5,813.4,88.9,12.3,0.5,62.7,"$45,030 ",Postsecondary nondegree award,None,None
Medical records & health information technicians,3,Line item,206.3,234.1,27.8,13.5,0.7,15.8,"$39,180 ",Postsecondary nondegree award,None,None
"Opticians, dispensing",3,Line item,77.6,89.3,11.6,15,3.5,7,"$36,250 ",High school diploma or equivalent,None,Long-term on-the-job training
Miscellaneous health technologists & technicians,3,Summary,142.4,170.6,28.2,19.8,2,12.3,"$43,420 ",NA,NA,NA
Orthotists & prosthetists,4,Line item,7.8,9.5,1.7,22.2,2,0.7,"$66,240 ",Master's degree,None,Internship/residency
Hearing aid specialists,4,Line item,6.8,8.2,1.3,19.5,2.3,0.6,"$54,860 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Health technologists & technicians, all other",4,Line item,127.8,152.9,25.1,19.7,2,11,"$41,800 ",Postsecondary nondegree award,None,None
Other healthcare practitioners & technical occupations,2,Summary,172.6,193.5,20.9,12.1,6,11.2,"$60,710 ",NA,NA,NA
Occupational health & safety specialists & technicians,3,Summary,101.8,110.4,8.6,8.5,6,6.1,"$67,720 ",NA,NA,NA
Occupational health & safety specialists,4,Line item,83.7,90.5,6.8,8.1,5.8,5,"$71,780 ",Bachelor's degree,None,None
Occupational health & safety technicians,4,Line item,18.1,19.9,1.8,10.1,6.5,1.1,"$49,960 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Miscellaneous health practitioners & technical workers,3,Summary,70.8,83.1,12.2,17.3,6.1,5,"$49,340 ",NA,NA,NA
Athletic trainers,4,Line item,27.8,34.1,6.3,22.8,6.2,2.2,"$46,630 ",Bachelor's degree,None,None
Genetic counselors,4,Line item,3.1,4,0.9,29,7.6,0.3,"$77,480 ",Master's degree,None,None
"Healthcare practitioners & technical workers, all other",4,Line item,40,45,5,12.6,6,2.6,"$51,530 ",Postsecondary nondegree award,None,None
Healthcare support occupations,1,Summary,"4,315.60","5,335.20","1,019.60",23.6,2.8,638.4,"$28,710 ",NA,NA,NA
"Nursing, psychiatric, & home health aides",2,Summary,"2,549.40","3,162.40",613,24,1.9,379.1,"$25,610 ",NA,NA,NA
Home health aides,3,Line item,911.5,"1,342.70",431.2,47.3,2,168.6,"$23,210 ",High school diploma or equivalent,None,Short-term on-the-job training
