title,Hierarchy,Occupation.type,Employment.2016,Employment.2026,ChgEmploy.2016to26.Num,ChgEmploy.2016to26.Perc,Percent.self.employed..2016,Occupational.openings..2016.26.annual.average,Median.annual.wage..2017.1.,Typical.education.needed.for.entry,Work.experience.in.a.related.occupation,Typical.on.the.job.training.needed.to.attain.competency.in.the.occupation,Level0,Level1,Level2,Level3,Level4,pathString,jobcol,percentchg.indx,percentchg.col
"Education, training, etc",3,Line item,112.7,124.9,12.2,10.8,2.8,11.7,"$43,140 ",Bachelor's degree,None,None,Jobs,"Education, training, etc","Other education, training, etc","Education, training, etc",NA,"Jobs/Education, training, etc/Other education, training, etc/Education, training, etc",#F781BF,11,#FF9200
Farm & home management advisors,3,Line item,10.4,11.2,0.8,7.5,1.4,1,"$49,510 ",Master's degree,None,None,Jobs,"Education, training, etc","Other education, training, etc",Farm & home management advisors,NA,"Jobs/Education, training, etc/Other education, training, etc/Farm & home management advisors",#F781BF,11,#FF9200
Instructional coordinators,3,Line item,163.2,180.4,17.2,10.5,3.5,16.9,"$63,750 ",Master's degree,5 years or more,None,Jobs,"Education, training, etc","Other education, training, etc",Instructional coordinators,NA,"Jobs/Education, training, etc/Other education, training, etc/Instructional coordinators",#F781BF,11,#FF9200
Teacher assistants,3,Line item,"1,308.10","1,417.60",109.5,8.4,0.1,147.9,"$26,260 ","Some college, no degree",None,None,Jobs,"Education, training, etc","Other education, training, etc",Teacher assistants,NA,"Jobs/Education, training, etc/Other education, training, etc/Teacher assistants",#F781BF,11,#FF9200
Other teachers & instructors,2,Summary,"1,416.20","1,568.20",152,10.7,11,176,"$32,460 ",NA,NA,NA,Jobs,"Education, training, etc",Other teachers & instructors,NA,NA,"Jobs/Education, training, etc/Other teachers & instructors",#F781BF,11,#FF9200
Adult basic & secondary education & literacy teachers & instructors,3,Line item,68.2,64.7,-3.4,-5.1,7.8,6.8,"$52,100 ",Bachelor's degree,None,None,Jobs,"Education, training, etc",Other teachers & instructors,Adult basic & secondary education & literacy teachers & instructors,NA,"Jobs/Education, training, etc/Other teachers & instructors/Adult basic & secondary education & literacy teachers & instructors",#F781BF,5,#0092FF
Self-enrichment education teachers,3,Line item,354.2,411.6,57.4,16.2,19.8,47,"$38,440 ",High school diploma or equivalent,Less than 5 years,None,Jobs,"Education, training, etc",Other teachers & instructors,Self-enrichment education teachers,NA,"Jobs/Education, training, etc/Other teachers & instructors/Self-enrichment education teachers",#F781BF,12,#FF6D00
"Teachers & instructors, all other",3,Line item,993.9,"1,091.80",98,9.9,8.1,122.2,"$30,310 ",Bachelor's degree,None,None,Jobs,"Education, training, etc",Other teachers & instructors,"Teachers & instructors, all other",NA,"Jobs/Education, training, etc/Other teachers & instructors/Teachers & instructors, all other",#F781BF,11,#FF9200
Postsecondary teachers,2,Summary,"1,871.40","2,108.30",236.9,12.7,0.3,172.4,"$67,140 ",NA,NA,NA,Jobs,"Education, training, etc",Postsecondary teachers,NA,NA,"Jobs/Education, training, etc/Postsecondary teachers",#F781BF,12,#FF6D00
"Arts, communications, etc",3,Summary,334.9,372.2,37.3,11.1,0.3,30.2,"$66,940 ",NA,NA,NA,Jobs,"Education, training, etc",Postsecondary teachers,"Arts, communications, etc",NA,"Jobs/Education, training, etc/Postsecondary teachers/Arts, communications, etc",#F781BF,11,#FF9200
"Art, drama, etc",4,Line item,122.5,137.2,14.7,12,0.4,11.2,"$66,930 ",Master's degree,None,None,Jobs,"Education, training, etc",Postsecondary teachers,"Arts, communications, etc","Art, drama, etc","Jobs/Education, training, etc/Postsecondary teachers/Arts, communications, etc/Art, drama, etc",#F781BF,11,#FF9200
"Communications teachers, postsecondary",4,Line item,34.1,37.5,3.4,10,0.3,3,"$66,510 ",Doctoral or professional degree,None,None,Jobs,"Education, training, etc",Postsecondary teachers,"Arts, communications, etc","Communications teachers, postsecondary","Jobs/Education, training, etc/Postsecondary teachers/Arts, communications, etc/Communications teachers, postsecondary",#F781BF,11,#FF9200
"English language & literature teachers, postsecondary",4,Line item,84.6,92.9,8.3,9.8,0.2,7.5,"$64,910 ",Doctoral or professional degree,None,None,Jobs,"Education, training, etc",Postsecondary teachers,"Arts, communications, etc","English language & literature teachers, postsecondary","Jobs/Education, training, etc/Postsecondary teachers/Arts, communications, etc/English language & literature teachers, postsecondary",#F781BF,11,#FF9200
"Foreign language & literature teachers, postsecondary",4,Line item,35,39.1,4.1,11.9,0.4,3.2,"$65,010 ",Doctoral or professional degree,None,None,Jobs,"Education, training, etc",Postsecondary teachers,"Arts, communications, etc","Foreign language & literature teachers, postsecondary","Jobs/Education, training, etc/Postsecondary teachers/Arts, communications, etc/Foreign language & literature teachers, postsecondary",#F781BF,11,#FF9200
"History teachers, postsecondary",4,Line item,26.9,29.7,2.8,10.3,0.3,2.4,"$72,690 ",Doctoral or professional degree,None,None,Jobs,"Education, training, etc",Postsecondary teachers,"Arts, communications, etc","History teachers, postsecondary","Jobs/Education, training, etc/Postsecondary teachers/Arts, communications, etc/History teachers, postsecondary",#F781BF,11,#FF9200
"Philosophy & religion teachers, postsecondary",4,Line item,31.8,35.7,3.9,12.3,0.5,2.9,"$69,590 ",Doctoral or professional degree,None,None,Jobs,"Education, training, etc",Postsecondary teachers,"Arts, communications, etc","Philosophy & religion teachers, postsecondary","Jobs/Education, training, etc/Postsecondary teachers/Arts, communications, etc/Philosophy & religion teachers, postsecondary",#F781BF,11,#FF9200
"Business teachers, postsecondary",3,Line item,104.2,123,18.9,18.1,0.3,10.4,"$80,300 ",Doctoral or professional degree,None,None,Jobs,"Education, training, etc",Postsecondary teachers,"Business teachers, postsecondary",NA,"Jobs/Education, training, etc/Postsecondary teachers/Business teachers, postsecondary",#F781BF,12,#FF6D00
"Education & library science teachers, postsecondary",3,Summary,80.5,88.8,8.2,10.2,0.3,7.2,"$64,680 ",NA,NA,NA,Jobs,"Education, training, etc",Postsecondary teachers,"Education & library science teachers, postsecondary",NA,"Jobs/Education, training, etc/Postsecondary teachers/Education & library science teachers, postsecondary",#F781BF,11,#FF9200
"Education teachers, postsecondary",4,Line item,74.5,82.2,7.7,10.3,0.3,6.6,"$64,020 ",Doctoral or professional degree,Less than 5 years,None,Jobs,"Education, training, etc",Postsecondary teachers,"Education & library science teachers, postsecondary","Education teachers, postsecondary","Jobs/Education, training, etc/Postsecondary teachers/Education & library science teachers, postsecondary/Education teachers, postsecondary",#F781BF,11,#FF9200
"Library science teachers, postsecondary",4,Line item,6,6.5,0.5,9,NA,0.5,"$70,940 ",Doctoral or professional degree,None,None,Jobs,"Education, training, etc",Postsecondary teachers,"Education & library science teachers, postsecondary","Library science teachers, postsecondary","Jobs/Education, training, etc/Postsecondary teachers/Education & library science teachers, postsecondary/Library science teachers, postsecondary",#F781BF,11,#FF9200
"Engineering & architecture teachers, postsecondary",3,Summary,57.1,65,7.9,13.9,0.2,5.4,"$95,550 ",NA,NA,NA,Jobs,"Education, training, etc",Postsecondary teachers,"Engineering & architecture teachers, postsecondary",NA,"Jobs/Education, training, etc/Postsecondary teachers/Engineering & architecture teachers, postsecondary",#F781BF,12,#FF6D00
"Architecture teachers, postsecondary",4,Line item,9.5,10.5,1,10.6,NA,0.8,"$80,050 ",Doctoral or professional degree,None,None,Jobs,"Education, training, etc",Postsecondary teachers,"Engineering & architecture teachers, postsecondary","Architecture teachers, postsecondary","Jobs/Education, training, etc/Postsecondary teachers/Engineering & architecture teachers, postsecondary/Architecture teachers, postsecondary",#F781BF,11,#FF9200
"Engineering teachers, postsecondary",4,Line item,47.6,54.6,6.9,14.6,0.2,4.5,"$98,360 ",Doctoral or professional degree,None,None,Jobs,"Education, training, etc",Postsecondary teachers,"Engineering & architecture teachers, postsecondary","Engineering teachers, postsecondary","Jobs/Education, training, etc/Postsecondary teachers/Engineering & architecture teachers, postsecondary/Engineering teachers, postsecondary",#F781BF,12,#FF6D00
"Health teachers, postsecondary",3,Summary,301.4,378.3,76.9,25.5,0.3,33.1,"$88,410 ",NA,NA,NA,Jobs,"Education, training, etc",Postsecondary teachers,"Health teachers, postsecondary",NA,"Jobs/Education, training, etc/Postsecondary teachers/Health teachers, postsecondary",#F781BF,13,#FF4900
"Health specialties teachers, postsecondary",4,Line item,233.5,294,60.6,25.9,0.3,25.8,"$97,870 ",Doctoral or professional degree,Less than 5 years,None,Jobs,"Education, training, etc",Postsecondary teachers,"Health teachers, postsecondary","Health specialties teachers, postsecondary","Jobs/Education, training, etc/Postsecondary teachers/Health teachers, postsecondary/Health specialties teachers, postsecondary",#F781BF,13,#FF4900
"Nursing instructors & teachers, postsecondary",4,Line item,67.9,84.2,16.3,24,0.3,7.3,"$71,260 ",Doctoral or professional degree,Less than 5 years,None,Jobs,"Education, training, etc",Postsecondary teachers,"Health teachers, postsecondary","Nursing instructors & teachers, postsecondary","Jobs/Education, training, etc/Postsecondary teachers/Health teachers, postsecondary/Nursing instructors & teachers, postsecondary",#F781BF,12,#FF6D00
"Law, criminal justice, etc",3,Summary,53.4,59.6,6.2,11.7,0.3,4.8,"$70,640 ",NA,NA,NA,Jobs,"Education, training, etc",Postsecondary teachers,"Law, criminal justice, etc",NA,"Jobs/Education, training, etc/Postsecondary teachers/Law, criminal justice, etc",#F781BF,11,#FF9200
"Criminal justice & law enforcement teachers, postsecondary",4,Line item,17.3,19.4,2.2,12.5,NA,1.6,"$60,400 ",Doctoral or professional degree,None,None,Jobs,"Education, training, etc",Postsecondary teachers,"Law, criminal justice, etc","Criminal justice & law enforcement teachers, postsecondary","Jobs/Education, training, etc/Postsecondary teachers/Law, criminal justice, etc/Criminal justice & law enforcement teachers, postsecondary",#F781BF,11,#FF9200
"Law teachers, postsecondary",4,Line item,21.2,23.8,2.6,12.3,0.5,1.9,"$104,910 ",Doctoral or professional degree,Less than 5 years,None,Jobs,"Education, training, etc",Postsecondary teachers,"Law, criminal justice, etc","Law teachers, postsecondary","Jobs/Education, training, etc/Postsecondary teachers/Law, criminal justice, etc/Law teachers, postsecondary",#F781BF,11,#FF9200
"Social work teachers, postsecondary",4,Line item,14.9,16.3,1.5,9.9,NA,1.3,"$64,370 ",Doctoral or professional degree,None,None,Jobs,"Education, training, etc",Postsecondary teachers,"Law, criminal justice, etc","Social work teachers, postsecondary","Jobs/Education, training, etc/Postsecondary teachers/Law, criminal justice, etc/Social work teachers, postsecondary",#F781BF,11,#FF9200
"Life sciences teachers, postsecondary",3,Summary,77.1,87.6,10.6,13.7,0.2,7.2,"$79,710 ",NA,NA,NA,Jobs,"Education, training, etc",Postsecondary teachers,"Life sciences teachers, postsecondary",NA,"Jobs/Education, training, etc/Postsecondary teachers/Life sciences teachers, postsecondary",#F781BF,12,#FF6D00
"Agricultural sciences teachers, postsecondary",4,Line item,12.6,13.6,0.9,7.5,NA,1.1,"$86,140 ",Doctoral or professional degree,None,None,Jobs,"Education, training, etc",Postsecondary teachers,"Life sciences teachers, postsecondary","Agricultural sciences teachers, postsecondary","Jobs/Education, training, etc/Postsecondary teachers/Life sciences teachers, postsecondary/Agricultural sciences teachers, postsecondary",#F781BF,11,#FF9200
"Biological science teachers, postsecondary",4,Line item,62.3,71.7,9.4,15.2,0.3,6,"$78,240 ",Doctoral or professional degree,None,None,Jobs,"Education, training, etc",Postsecondary teachers,"Life sciences teachers, postsecondary","Biological science teachers, postsecondary","Jobs/Education, training, etc/Postsecondary teachers/Life sciences teachers, postsecondary/Biological science teachers, postsecondary",#F781BF,12,#FF6D00
"Forestry & conservation science teachers, postsecondary",4,Line item,2.2,2.3,0.2,7.8,NA,0.2,"$87,420 ",Doctoral or professional degree,None,None,Jobs,"Education, training, etc",Postsecondary teachers,"Life sciences teachers, postsecondary","Forestry & conservation science teachers, postsecondary","Jobs/Education, training, etc/Postsecondary teachers/Life sciences teachers, postsecondary/Forestry & conservation science teachers, postsecondary",#F781BF,11,#FF9200
"Math & computer teachers, postsecondary",3,Summary,100.6,109.4,8.8,8.8,0.2,8.7,"$73,780 ",NA,NA,NA,Jobs,"Education, training, etc",Postsecondary teachers,"Math & computer teachers, postsecondary",NA,"Jobs/Education, training, etc/Postsecondary teachers/Math & computer teachers, postsecondary",#F781BF,11,#FF9200
"Computer science teachers, postsecondary",4,Line item,39.7,42.9,3.2,8.1,0.3,3.4,"$78,630 ",Doctoral or professional degree,None,None,Jobs,"Education, training, etc",Postsecondary teachers,"Math & computer teachers, postsecondary","Computer science teachers, postsecondary","Jobs/Education, training, etc/Postsecondary teachers/Math & computer teachers, postsecondary/Computer science teachers, postsecondary",#F781BF,11,#FF9200
"Mathematical science teachers, postsecondary",4,Line item,60.9,66.6,5.6,9.2,0.2,5.3,"$70,910 ",Doctoral or professional degree,None,None,Jobs,"Education, training, etc",Postsecondary teachers,"Math & computer teachers, postsecondary","Mathematical science teachers, postsecondary","Jobs/Education, training, etc/Postsecondary teachers/Math & computer teachers, postsecondary/Mathematical science teachers, postsecondary",#F781BF,11,#FF9200
Miscellaneous postsecondary teachers,3,Summary,557,596.1,39.1,7,0.2,47,"$49,690 ",NA,NA,NA,Jobs,"Education, training, etc",Postsecondary teachers,Miscellaneous postsecondary teachers,NA,"Jobs/Education, training, etc/Postsecondary teachers/Miscellaneous postsecondary teachers",#F781BF,11,#FF9200
Graduate teaching assistants,4,Line item,168.3,181.2,12.9,7.7,0.1,14.4,"$32,460 ",Bachelor's degree,None,None,Jobs,"Education, training, etc",Postsecondary teachers,Miscellaneous postsecondary teachers,Graduate teaching assistants,"Jobs/Education, training, etc/Postsecondary teachers/Miscellaneous postsecondary teachers/Graduate teaching assistants",#F781BF,11,#FF9200
"Home economics teachers, postsecondary",4,Line item,3.5,3.8,0.3,7.8,NA,0.3,"$71,630 ",Master's degree,None,None,Jobs,"Education, training, etc",Postsecondary teachers,Miscellaneous postsecondary teachers,"Home economics teachers, postsecondary","Jobs/Education, training, etc/Postsecondary teachers/Miscellaneous postsecondary teachers/Home economics teachers, postsecondary",#F781BF,11,#FF9200
"Postsecondary teachers, all other",4,Line item,236.5,258.7,22.2,9.4,0.2,20.7,"$64,480 ",Doctoral or professional degree,None,None,Jobs,"Education, training, etc",Postsecondary teachers,Miscellaneous postsecondary teachers,"Postsecondary teachers, all other","Jobs/Education, training, etc/Postsecondary teachers/Miscellaneous postsecondary teachers/Postsecondary teachers, all other",#F781BF,11,#FF9200
"Recreation & fitness studies teachers, postsecondary",4,Line item,20.6,22.6,2,9.7,NA,1.8,"$60,150 ",Doctoral or professional degree,None,None,Jobs,"Education, training, etc",Postsecondary teachers,Miscellaneous postsecondary teachers,"Recreation & fitness studies teachers, postsecondary","Jobs/Education, training, etc/Postsecondary teachers/Miscellaneous postsecondary teachers/Recreation & fitness studies teachers, postsecondary",#F781BF,11,#FF9200
"Vocational education teachers, postsecondary",4,Line item,128,129.8,1.7,1.4,0.4,9.8,"$51,600 ",Bachelor's degree,Less than 5 years,None,Jobs,"Education, training, etc",Postsecondary teachers,Miscellaneous postsecondary teachers,"Vocational education teachers, postsecondary","Jobs/Education, training, etc/Postsecondary teachers/Miscellaneous postsecondary teachers/Vocational education teachers, postsecondary",#F781BF,9,#FFDB00
"Physical sciences teachers, postsecondary",3,Summary,64,70.3,6.3,9.8,0.3,5.6,"$81,230 ",NA,NA,NA,Jobs,"Education, training, etc",Postsecondary teachers,"Physical sciences teachers, postsecondary",NA,"Jobs/Education, training, etc/Postsecondary teachers/Physical sciences teachers, postsecondary",#F781BF,11,#FF9200
"Atmospheric, earth, etc",4,Line item,13.1,14.4,1.3,9.5,NA,1.2,"$87,380 ",Doctoral or professional degree,None,None,Jobs,"Education, training, etc",Postsecondary teachers,"Physical sciences teachers, postsecondary","Atmospheric, earth, etc","Jobs/Education, training, etc/Postsecondary teachers/Physical sciences teachers, postsecondary/Atmospheric, earth, etc",#F781BF,11,#FF9200
"Chemistry teachers, postsecondary",4,Line item,26.3,28.9,2.6,9.9,0.3,2.3,"$77,190 ",Doctoral or professional degree,None,None,Jobs,"Education, training, etc",Postsecondary teachers,"Physical sciences teachers, postsecondary","Chemistry teachers, postsecondary","Jobs/Education, training, etc/Postsecondary teachers/Physical sciences teachers, postsecondary/Chemistry teachers, postsecondary",#F781BF,11,#FF9200
"Environmental science teachers, postsecondary",4,Line item,6.9,7.6,0.7,9.6,NA,0.6,"$76,360 ",Doctoral or professional degree,None,None,Jobs,"Education, training, etc",Postsecondary teachers,"Physical sciences teachers, postsecondary","Environmental science teachers, postsecondary","Jobs/Education, training, etc/Postsecondary teachers/Physical sciences teachers, postsecondary/Environmental science teachers, postsecondary",#F781BF,11,#FF9200
"Physics teachers, postsecondary",4,Line item,17.6,19.4,1.8,10,NA,1.6,"$87,340 ",Doctoral or professional degree,None,None,Jobs,"Education, training, etc",Postsecondary teachers,"Physical sciences teachers, postsecondary","Physics teachers, postsecondary","Jobs/Education, training, etc/Postsecondary teachers/Physical sciences teachers, postsecondary/Physics teachers, postsecondary",#F781BF,11,#FF9200
"Social sciences teachers, postsecondary",3,Summary,141.3,158,16.7,11.8,0.3,12.9,"$76,210 ",NA,NA,NA,Jobs,"Education, training, etc",Postsecondary teachers,"Social sciences teachers, postsecondary",NA,"Jobs/Education, training, etc/Postsecondary teachers/Social sciences teachers, postsecondary",#F781BF,11,#FF9200
"Anthropology & archeology teachers, postsecondary",4,Line item,7.1,7.8,0.7,10,NA,0.6,"$81,580 ",Doctoral or professional degree,None,None,Jobs,"Education, training, etc",Postsecondary teachers,"Social sciences teachers, postsecondary","Anthropology & archeology teachers, postsecondary","Jobs/Education, training, etc/Postsecondary teachers/Social sciences teachers, postsecondary/Anthropology & archeology teachers, postsecondary",#F781BF,11,#FF9200
"Area, ethnic, etc",4,Line item,11.5,12.7,1.2,10.5,NA,1,"$72,230 ",Doctoral or professional degree,None,None,Jobs,"Education, training, etc",Postsecondary teachers,"Social sciences teachers, postsecondary","Area, ethnic, etc","Jobs/Education, training, etc/Postsecondary teachers/Social sciences teachers, postsecondary/Area, ethnic, etc",#F781BF,11,#FF9200
"Economics teachers, postsecondary",4,Line item,16.5,18.3,1.8,10.6,0.3,1.5,"$98,350 ",Doctoral or professional degree,None,None,Jobs,"Education, training, etc",Postsecondary teachers,"Social sciences teachers, postsecondary","Economics teachers, postsecondary","Jobs/Education, training, etc/Postsecondary teachers/Social sciences teachers, postsecondary/Economics teachers, postsecondary",#F781BF,11,#FF9200
"Geography teachers, postsecondary",4,Line item,5,5.4,0.4,8.4,NA,0.4,"$78,040 ",Doctoral or professional degree,None,None,Jobs,"Education, training, etc",Postsecondary teachers,"Social sciences teachers, postsecondary","Geography teachers, postsecondary","Jobs/Education, training, etc/Postsecondary teachers/Social sciences teachers, postsecondary/Geography teachers, postsecondary",#F781BF,11,#FF9200
"Political science teachers, postsecondary",4,Line item,21.2,23.4,2.2,10.6,0.3,1.9,"$81,430 ",Doctoral or professional degree,None,None,Jobs,"Education, training, etc",Postsecondary teachers,"Social sciences teachers, postsecondary","Political science teachers, postsecondary","Jobs/Education, training, etc/Postsecondary teachers/Social sciences teachers, postsecondary/Political science teachers, postsecondary",#F781BF,11,#FF9200
"Psychology teachers, postsecondary",4,Line item,46.9,54,7.1,15.1,0.3,4.5,"$73,770 ",Doctoral or professional degree,None,None,Jobs,"Education, training, etc",Postsecondary teachers,"Social sciences teachers, postsecondary","Psychology teachers, postsecondary","Jobs/Education, training, etc/Postsecondary teachers/Social sciences teachers, postsecondary/Psychology teachers, postsecondary",#F781BF,12,#FF6D00
"Social sciences teachers, postsecondary, etc",4,Line item,15.3,16.8,1.5,10,NA,1.3,"$64,480 ",Doctoral or professional degree,None,None,Jobs,"Education, training, etc",Postsecondary teachers,"Social sciences teachers, postsecondary","Social sciences teachers, postsecondary, etc","Jobs/Education, training, etc/Postsecondary teachers/Social sciences teachers, postsecondary/Social sciences teachers, postsecondary, etc",#F781BF,11,#FF9200
"Sociology teachers, postsecondary",4,Line item,17.9,19.6,1.8,9.8,NA,1.6,"$73,080 ",Doctoral or professional degree,None,None,Jobs,"Education, training, etc",Postsecondary teachers,"Social sciences teachers, postsecondary","Sociology teachers, postsecondary","Jobs/Education, training, etc/Postsecondary teachers/Social sciences teachers, postsecondary/Sociology teachers, postsecondary",#F781BF,11,#FF9200
"Preschool, primary, etc",2,Summary,"4,264.80","4,598.70",333.8,7.8,0.1,358.7,"$55,790 ",NA,NA,NA,Jobs,"Education, training, etc","Preschool, primary, etc",NA,NA,"Jobs/Education, training, etc/Preschool, primary, etc",#F781BF,11,#FF9200
Elementary & middle school teachers,3,Summary,"2,053.90","2,206.20",152.3,7.4,NA,164.4,"$57,350 ",NA,NA,NA,Jobs,"Education, training, etc","Preschool, primary, etc",Elementary & middle school teachers,NA,"Jobs/Education, training, etc/Preschool, primary, etc/Elementary & middle school teachers",#F781BF,11,#FF9200
"Career education teachers, middle school",4,Line item,12.7,13.6,0.9,7.3,NA,1,"$58,630 ",Bachelor's degree,Less than 5 years,None,Jobs,"Education, training, etc","Preschool, primary, etc",Elementary & middle school teachers,"Career education teachers, middle school","Jobs/Education, training, etc/Preschool, primary, etc/Elementary & middle school teachers/Career education teachers, middle school",#F781BF,11,#FF9200
"Elementary school teachers, except special ed",4,Line item,"1,410.90","1,514.90",104.1,7.4,NA,112.8,"$57,160 ",Bachelor's degree,None,None,Jobs,"Education, training, etc","Preschool, primary, etc",Elementary & middle school teachers,"Elementary school teachers, except special ed","Jobs/Education, training, etc/Preschool, primary, etc/Elementary & middle school teachers/Elementary school teachers, except special ed",#F781BF,11,#FF9200
"Middle school teachers, except special ed",4,Line item,630.3,677.7,47.3,7.5,NA,50.5,"$57,720 ",Bachelor's degree,None,None,Jobs,"Education, training, etc","Preschool, primary, etc",Elementary & middle school teachers,"Middle school teachers, except special ed","Jobs/Education, training, etc/Preschool, primary, etc/Elementary & middle school teachers/Middle school teachers, except special ed",#F781BF,11,#FF9200
Preschool & kindergarten teachers,3,Summary,633,695.3,62.3,9.8,0.8,70.3,"$33,540 ",NA,NA,NA,Jobs,"Education, training, etc","Preschool, primary, etc",Preschool & kindergarten teachers,NA,"Jobs/Education, training, etc/Preschool, primary, etc/Preschool & kindergarten teachers",#F781BF,11,#FF9200
"Kindergarten teachers, except special education",4,Line item,154.4,166.7,12.3,7.9,0.2,16.7,"$54,230 ",Bachelor's degree,None,None,Jobs,"Education, training, etc","Preschool, primary, etc",Preschool & kindergarten teachers,"Kindergarten teachers, except special education","Jobs/Education, training, etc/Preschool, primary, etc/Preschool & kindergarten teachers/Kindergarten teachers, except special education",#F781BF,11,#FF9200
"Preschool teachers, except special ed",4,Line item,478.5,528.6,50.1,10.5,1,53.6,"$28,990 ",Associate's degree,None,None,Jobs,"Education, training, etc","Preschool, primary, etc",Preschool & kindergarten teachers,"Preschool teachers, except special ed","Jobs/Education, training, etc/Preschool, primary, etc/Preschool & kindergarten teachers/Preschool teachers, except special ed",#F781BF,11,#FF9200
Secondary school teachers,3,Summary,"1,097.40","1,179.20",81.8,7.5,NA,85.5,"$59,130 ",NA,NA,NA,Jobs,"Education, training, etc","Preschool, primary, etc",Secondary school teachers,NA,"Jobs/Education, training, etc/Preschool, primary, etc/Secondary school teachers",#F781BF,11,#FF9200
"Career education teachers, secondary school",4,Line item,78.7,83.7,5,6.4,NA,6,"$58,660 ",Bachelor's degree,Less than 5 years,None,Jobs,"Education, training, etc","Preschool, primary, etc",Secondary school teachers,"Career education teachers, secondary school","Jobs/Education, training, etc/Preschool, primary, etc/Secondary school teachers/Career education teachers, secondary school",#F781BF,11,#FF9200
"Secondary school teachers, except special ed",4,Line item,"1,018.70","1,095.50",76.8,7.5,NA,79.5,"$59,170 ",Bachelor's degree,None,None,Jobs,"Education, training, etc","Preschool, primary, etc",Secondary school teachers,"Secondary school teachers, except special ed","Jobs/Education, training, etc/Preschool, primary, etc/Secondary school teachers/Secondary school teachers, except special ed",#F781BF,11,#FF9200
Special education teachers,3,Summary,480.6,517.9,37.3,7.8,NA,38.5,"$58,710 ",NA,NA,NA,Jobs,"Education, training, etc","Preschool, primary, etc",Special education teachers,NA,"Jobs/Education, training, etc/Preschool, primary, etc/Special education teachers",#F781BF,11,#FF9200
"Special education teachers, all other",4,Line item,41.3,45.4,4.1,9.8,NA,3.4,"$54,800 ",Bachelor's degree,None,None,Jobs,"Education, training, etc","Preschool, primary, etc",Special education teachers,"Special education teachers, all other","Jobs/Education, training, etc/Preschool, primary, etc/Special education teachers/Special education teachers, all other",#F781BF,11,#FF9200
"Special education teachers, kindergarten & elementary school",4,Line item,188.9,202.8,13.9,7.4,NA,15,"$58,600 ",Bachelor's degree,None,None,Jobs,"Education, training, etc","Preschool, primary, etc",Special education teachers,"Special education teachers, kindergarten & elementary school","Jobs/Education, training, etc/Preschool, primary, etc/Special education teachers/Special education teachers, kindergarten & elementary school",#F781BF,11,#FF9200
"Special education teachers, middle school",4,Line item,89.3,95.7,6.3,7.1,NA,7.1,"$59,510 ",Bachelor's degree,None,None,Jobs,"Education, training, etc","Preschool, primary, etc",Special education teachers,"Special education teachers, middle school","Jobs/Education, training, etc/Preschool, primary, etc/Special education teachers/Special education teachers, middle school",#F781BF,11,#FF9200
"Special education teachers, preschool",4,Line item,29.2,32.5,3.3,11.2,NA,2.5,"$53,640 ",Bachelor's degree,None,None,Jobs,"Education, training, etc","Preschool, primary, etc",Special education teachers,"Special education teachers, preschool","Jobs/Education, training, etc/Preschool, primary, etc/Special education teachers/Special education teachers, preschool",#F781BF,11,#FF9200
"Special education teachers, secondary school",4,Line item,131.9,141.6,9.7,7.4,NA,10.5,"$60,180 ",Bachelor's degree,None,None,Jobs,"Education, training, etc","Preschool, primary, etc",Special education teachers,"Special education teachers, secondary school","Jobs/Education, training, etc/Preschool, primary, etc/Special education teachers/Special education teachers, secondary school",#F781BF,11,#FF9200
"Farming, fishing, etc",1,Summary,"1,060.10","1,056.70",-3.5,-0.3,4,154.3,"$24,390 ",NA,NA,NA,Jobs,"Farming, fishing, etc",NA,NA,NA,"Jobs/Farming, fishing, etc",#7FC97F,7,#00DBFF
Agricultural workers,2,Summary,914.8,914.7,0,0,0.5,136.7,"$23,830 ",NA,NA,NA,Jobs,"Farming, fishing, etc",Agricultural workers,NA,NA,"Jobs/Farming, fishing, etc/Agricultural workers",#7FC97F,7,#00DBFF
Agricultural inspectors,3,Line item,15.6,16.3,0.7,4.6,NA,2.2,"$43,390 ",Bachelor's degree,None,Moderate-term on-the-job training,Jobs,"Farming, fishing, etc",Agricultural workers,Agricultural inspectors,NA,"Jobs/Farming, fishing, etc/Agricultural workers/Agricultural inspectors",#7FC97F,10,#FFB600
Animal breeders,3,Line item,9,9.2,0.2,2,NA,1.4,"$37,560 ",High school diploma or equivalent,None,Short-term on-the-job training,Jobs,"Farming, fishing, etc",Agricultural workers,Animal breeders,NA,"Jobs/Farming, fishing, etc/Agricultural workers/Animal breeders",#7FC97F,9,#FFDB00
"Graders & sorters, agricultural products",3,Line item,42.9,42.5,-0.4,-0.9,0.2,5.7,"$23,340 ",No formal educational credential,None,Short-term on-the-job training,Jobs,"Farming, fishing, etc",Agricultural workers,"Graders & sorters, agricultural products",NA,"Jobs/Farming, fishing, etc/Agricultural workers/Graders & sorters, agricultural products",#7FC97F,7,#00DBFF
Miscellaneous agricultural workers,3,Summary,847.3,846.7,-0.6,-0.1,0.5,127.5,"$23,710 ",NA,NA,NA,Jobs,"Farming, fishing, etc",Agricultural workers,Miscellaneous agricultural workers,NA,"Jobs/Farming, fishing, etc/Agricultural workers/Miscellaneous agricultural workers",#7FC97F,7,#00DBFF
