title,Hierarchy,Occupation.type,Employment.2016,Employment.2026,ChgEmploy.2016to26.Num,ChgEmploy.2016to26.Perc,Percent.self.employed..2016,Occupational.openings..2016.26.annual.average,Median.annual.wage..2017.1.,Typical.education.needed.for.entry,Work.experience.in.a.related.occupation,Typical.on.the.job.training.needed.to.attain.competency.in.the.occupation,Level0,Level1,Level2,Level3,Level4,pathString,jobcol,percentchg.indx,percentchg.col
Electrical & electronics engineering technicians,4,Line item,137,139.8,2.7,2,0.7,12,"$63,660 ",Associate's degree,None,None,Jobs,Architecture & engineering,"Drafters, engineering technicians, etc","Engineering technicians, except drafters",Electrical & electronics engineering technicians,"Jobs/Architecture & engineering/Drafters, engineering technicians, etc/Engineering technicians, except drafters/Electrical & electronics engineering technicians",#984EA3,9,#FFDB00
Electro-mechanical technicians,4,Line item,13.8,14.3,0.5,3.5,0.8,1.2,"$56,740 ",Associate's degree,None,None,Jobs,Architecture & engineering,"Drafters, engineering technicians, etc","Engineering technicians, except drafters",Electro-mechanical technicians,"Jobs/Architecture & engineering/Drafters, engineering technicians, etc/Engineering technicians, except drafters/Electro-mechanical technicians",#984EA3,10,#FFB600
"Engineering technicians, except drafters, etc",4,Line item,76.8,80.8,4,5.2,0.6,7.1,"$62,230 ",Associate's degree,None,None,Jobs,Architecture & engineering,"Drafters, engineering technicians, etc","Engineering technicians, except drafters","Engineering technicians, except drafters, etc","Jobs/Architecture & engineering/Drafters, engineering technicians, etc/Engineering technicians, except drafters/Engineering technicians, except drafters, etc",#984EA3,10,#FFB600
Environmental engineering technicians,4,Line item,17,19.1,2.2,12.9,0.7,1.7,"$50,230 ",Associate's degree,None,None,Jobs,Architecture & engineering,"Drafters, engineering technicians, etc","Engineering technicians, except drafters",Environmental engineering technicians,"Jobs/Architecture & engineering/Drafters, engineering technicians, etc/Engineering technicians, except drafters/Environmental engineering technicians",#984EA3,12,#FF6D00
Industrial engineering technicians,4,Line item,63.9,64.3,0.4,0.6,0.8,5.5,"$54,280 ",Associate's degree,None,None,Jobs,Architecture & engineering,"Drafters, engineering technicians, etc","Engineering technicians, except drafters",Industrial engineering technicians,"Jobs/Architecture & engineering/Drafters, engineering technicians, etc/Engineering technicians, except drafters/Industrial engineering technicians",#984EA3,8,#00FFFF
Mechanical engineering technicians,4,Line item,46.1,48.4,2.3,5,0.8,4.2,"$55,360 ",Associate's degree,None,None,Jobs,Architecture & engineering,"Drafters, engineering technicians, etc","Engineering technicians, except drafters",Mechanical engineering technicians,"Jobs/Architecture & engineering/Drafters, engineering technicians, etc/Engineering technicians, except drafters/Mechanical engineering technicians",#984EA3,10,#FFB600
Surveying & mapping technicians,3,Line item,60.2,66.6,6.4,10.6,9.1,7.2,"$43,340 ",High school diploma or equivalent,None,Moderate-term on-the-job training,Jobs,Architecture & engineering,"Drafters, engineering technicians, etc",Surveying & mapping technicians,NA,"Jobs/Architecture & engineering/Drafters, engineering technicians, etc/Surveying & mapping technicians",#984EA3,11,#FF9200
Engineers,2,Summary,"1,681.00","1,820.30",139.3,8.3,1.5,126.6,"$92,220 ",NA,NA,NA,Jobs,Architecture & engineering,Engineers,NA,NA,Jobs/Architecture & engineering/Engineers,#984EA3,11,#FF9200
Aerospace engineers,3,Line item,69.6,73.8,4.2,6.1,NA,4.6,"$113,030 ",Bachelor's degree,None,None,Jobs,Architecture & engineering,Engineers,Aerospace engineers,NA,Jobs/Architecture & engineering/Engineers/Aerospace engineers,#984EA3,10,#FFB600
Agricultural engineers,3,Line item,2.7,2.9,0.2,8.2,2.8,0.2,"$74,780 ",Bachelor's degree,None,None,Jobs,Architecture & engineering,Engineers,Agricultural engineers,NA,Jobs/Architecture & engineering/Engineers/Agricultural engineers,#984EA3,11,#FF9200
